Timestamp (s),Angle (deg)
0.0,-20.3906
0.00307,-20.3906
0.00408,-20.4785
0.00408,-20.5664
0.00408,-20.6543
0.00408,-20.7422
0.00408,-20.8301
0.00408,-20.918
0.00836,-20.918
0.00932,-20.918
0.00932,-20.918
0.0104,-21.0059
0.0104,-21.0059
0.0117,-21.0059
0.01203,-21.0059
0.01259,-21.0059
0.01343,-21.0059
0.01529,-21.0059
0.01529,-21.0059
0.01632,-21.0059
0.01703,-21.0059
0.01758,-21.0059
0.01758,-21.0059
0.01924,-21.0059
0.01968,-21.0059
0.02014,-21.0059
0.02064,-21.0059
0.02096,-21.0059
0.02096,-21.0059
0.02198,-21.0059
0.02257,-21.0059
0.02257,-21.0059
0.02257,-21.0059
0.0243,-21.0059
0.0243,-21.0059
0.0243,-21.0059
0.02532,-21.0059
0.02532,-21.0059
0.02532,-21.0059
0.02532,-21.0059
0.02532,-21.0059
0.02532,-21.0059
0.0278,-21.0059
0.02849,-21.0059
0.02849,-21.0059
0.02991,-21.0059
0.02991,-21.0059
0.02991,-21.0938
0.02991,-21.0938
0.02991,-21.0938
0.02991,-21.1816
0.0337,-21.1816
0.03442,-21.1816
0.03442,-21.1816
0.03442,-21.1816
0.03442,-21.1816
0.03563,-21.1816
0.03563,-21.1816
0.03563,-21.1816
0.03669,-21.1816
0.03669,-21.1816
0.03669,-21.1816
0.03768,-21.0938
0.03768,-21.0059
0.03768,-21.0059
0.03768,-20.918
0.03884,-20.7422
0.03884,-20.6543
0.03952,-20.5664
0.03952,-20.4785
0.03952,-20.3906
0.04054,-20.3906
0.04054,-20.3027
0.04054,-20.3027
0.04155,-20.3027
0.04155,-20.2148
0.05293,-20.2148
0.08175,-20.127
0.10411,-20.127
0.13486,-20.0391
0.16266,-20.0391
0.18769,-20.0391
0.2156,-20.0391
0.24491,-20.0391
0.26959,-20.0391
0.29787,-20.0391
0.32043,-20.0391
0.35132,-20.0391
0.37851,-20.0391
0.40483,-20.0391
0.43236,-20.0391
0.45297,-20.0391
0.4858,-20.0391
0.51229,-20.0391
0.5349,-20.0391
0.56542,-20.0391
0.59265,-20.0391
0.61852,-20.0391
0.64531,-20.0391
0.67028,-20.0391
0.70208,-20.0391
0.72856,-20.0391
0.75098,-20.0391
0.78257,-20.0391
0.80582,-20.0391
0.83467,-20.0391
0.86134,-20.0391
0.88597,-20.0391
0.91747,-20.0391
0.94482,-20.0391
0.96766,-20.0391
0.9965,-20.0391
1.02327,-20.0391
1.05256,-20.0391
1.07855,-20.0391
1.10622,-20.0391
1.13336,-20.0391
1.16037,-20.0391
1.18371,-20.0391
1.2146,-20.0391
1.24134,-20.0391
1.26722,-20.0391
1.29558,-20.0391
1.31687,-20.0391
1.34909,-20.0391
1.36785,-20.0391
1.403,-20.0391
1.43019,-20.0391
1.45275,-20.0391
1.48335,-20.0391
1.5116,-20.0391
1.5324,-20.0391
1.56422,-20.0391
1.58668,-20.0391
1.61947,-20.0391
1.64578,-20.0391
1.66596,-20.0391
1.69665,-20.0391
