Timestamp (s),Angle (deg)
0.0,-9.4043
0.00348,-9.4922
0.00348,-9.668
0.00348,-9.8438
0.00348,-9.9316
0.00348,-10.1074
0.00865,-10.1953
0.00967,-10.3711
0.01051,-10.5469
0.0116,-10.6348
0.0116,-10.7227
0.01306,-10.8105
0.01443,-10.8105
0.01545,-10.9863
0.01645,-11.0742
0.01742,-11.0742
0.01798,-11.1621
0.02043,-11.1621
0.0215,-11.25
0.0215,-11.25
0.02249,-11.3379
0.02352,-11.3379
0.02352,-11.3379
0.02454,-11.4258
0.02529,-11.4258
0.02529,-11.4258
0.02529,-11.4258
0.02632,-11.5137
0.02632,-11.5137
0.02733,-11.5137
0.02834,-11.5137
0.02834,-11.5137
0.02834,-11.5137
0.02834,-11.6016
0.02985,-11.6016
0.03018,-11.6016
0.0312,-11.6895
0.0312,-11.6895
0.0312,-11.6895
0.0312,-11.6895
0.0312,-11.6895
0.03292,-11.6895
0.03341,-11.6895
0.03341,-11.7773
0.03341,-11.7773
0.03341,-11.7773
0.03341,-11.8652
0.03341,-11.8652
0.03341,-11.9531
0.03341,-11.9531
0.03838,-12.041
0.03838,-12.041
0.0389,-12.1289
0.0389,-12.2168
0.03952,-12.2168
0.04008,-12.3047
0.04008,-12.3926
0.04008,-12.3926
0.04111,-12.3926
0.04111,-12.4805
0.0421,-12.5684
0.0421,-12.6562
0.0421,-12.7441
0.0431,-12.832
0.0431,-12.9199
0.0431,-13.0957
0.0441,-13.1836
0.0441,-13.2715
0.0441,-13.3594
0.04511,-13.5352
0.04511,-13.7109
0.04511,-13.7988
0.04611,-13.8867
0.04611,-14.0625
0.04611,-14.1504
0.04611,-14.2383
0.05772,-14.4141
0.08665,-14.502
0.10796,-14.6777
0.13967,-14.7656
0.16762,-14.8535
0.19284,-14.9414
0.22173,-15.1172
0.24465,-15.2051
0.27357,-15.3809
0.30062,-15.4688
0.33058,-15.5566
0.35669,-15.7324
0.38414,-15.8203
0.40701,-15.8203
0.4368,-15.9082
0.45802,-15.9961
0.49066,-16.084
0.51736,-16.1719
0.54298,-16.2598
0.56827,-16.3477
0.5995,-16.4355
0.62556,-16.5234
0.65037,-16.6113
0.67389,-16.6113
0.70737,-16.6992
0.73322,-16.7871
0.75655,-16.7871
0.78768,-16.875
0.80749,-16.9629
0.84214,-17.0508
0.86716,-17.0508
0.89046,-17.1387
0.9231,-17.2266
0.95025,-17.3145
0.97486,-17.4023
1.00317,-17.4023
1.02518,-17.4902
1.05646,-17.5781
1.08529,-17.5781
1.10826,-17.666
1.1345,-17.7539
1.16504,-17.8418
1.19165,-17.8418
1.21977,-17.9297
1.24477,-17.9297
1.27121,-18.0176
1.30092,-18.1055
1.32285,-18.1055
1.3542,-18.1934
1.38135,-18.1934
1.40816,-18.2812
1.4348,-18.3691
1.45787,-18.3691
1.4839,-18.457
1.51602,-18.5449
1.54277,-18.457
1.5696,-18.5449
1.58985,-18.6328
1.62278,-18.7207
1.65091,-18.7207
1.6757,-18.8086
1.70457,-18.8965
1.73189,-18.9844
1.75918,-19.0723
1.78481,-19.0723
1.80673,-19.0723
1.84035,-19.1602
1.8674,-19.248
1.89367,-19.248
1.91964,-19.3359
1.94866,-19.3359
1.97371,-19.4238
2.00184,-19.5117
2.02352,-19.5996
2.05485,-19.5996
2.08275,-19.6875
2.1077,-19.6875
2.13518,-19.7754
2.15786,-19.7754
2.18995,-19.8633
2.21657,-19.8633
2.23935,-19.7754
2.27152,-19.8633
2.29873,-19.8633
2.32179,-19.8633
2.35045,-19.8633
2.37278,-19.9512
2.40675,-19.9512
2.43281,-19.9512
2.4571,-19.9512
2.48775,-19.9512
2.50751,-20.0391
2.54042,-20.0391
2.56771,-20.0391
2.59321,-20.127
2.62091,-20.127
2.64938,-20.127
2.67213,-20.127
2.70183,-20.2148
2.73064,-20.2148
2.75719,-20.2148
2.78411,-20.3027
2.80713,-20.3027
2.83518,-20.3027
2.86552,-20.3027
2.88475,-20.3906
2.91847,-20.3906
2.94034,-20.3906
2.97363,-20.3906
3.00018,-20.3906
3.02376,-20.3906
3.05405,-20.4785
3.08084,-20.4785
3.1073,-20.4785
3.13498,-20.4785
3.15573,-20.4785
3.18909,-20.4785
3.21591,-20.4785
3.24226,-20.4785
3.27019,-20.4785
3.29745,-20.4785
3.31766,-20.4785
3.35059,-20.4785
3.37362,-20.4785
3.40497,-20.4785
3.43105,-20.4785
3.45684,-20.4785
3.48506,-20.4785
3.50585,-20.4785
3.53758,-20.4785
3.56579,-20.4785
3.58885,-20.4785
3.61786,-20.4785
3.63997,-20.4785
3.67202,-20.4785
3.70165,-20.4785
3.7258,-20.4785
3.75535,-20.4785
3.78179,-20.4785
3.80212,-20.4785
3.83583,-20.4785
3.85536,-20.4785
3.88871,-20.4785
3.91683,-20.4785
3.93864,-20.4785
3.97087,-20.5664
3.99769,-20.4785
4.0244,-20.4785
4.05004,-20.5664
4.07991,-20.4785
4.09932,-20.4785
4.13223,-20.5664
4.15851,-20.4785
4.18683,-20.4785
4.21408,-20.4785
4.2394,-20.4785
4.26794,-20.4785
4.29088,-20.4785
4.32083,-20.4785
4.34812,-20.4785
4.37092,-20.4785
4.39993,-20.4785
4.42949,-20.4785
4.45679,-20.4785
4.48297,-20.4785
4.50593,-20.4785
4.53663,-20.4785
4.56463,-20.4785
4.58943,-20.4785
4.61821,-20.4785
4.64592,-20.4785
4.66798,-20.4785
4.69836,-20.4785
4.72045,-20.4785
4.7533,-20.4785
4.78031,-20.4785
4.80628,-20.4785
4.83344,-20.4785
4.86213,-20.4785
4.88708,-20.4785
4.9155,-20.4785
4.93878,-20.4785
4.96884,-20.4785
4.99669,-20.4785
5.02246,-20.4785
5.05018,-20.4785
5.07859,-20.4785
5.10373,-20.4785
5.13092,-20.4785
5.15578,-20.4785
5.18514,-20.4785
5.21226,-20.4785
5.23926,-20.4785
5.26519,-20.4785
5.28824,-20.4785
5.315,-20.4785
5.34624,-20.4785
5.36972,-20.4785
5.39945,-20.4785
5.42876,-20.4785
5.44928,-20.4785
5.48201,-20.4785
5.50551,-20.4785
5.53541,-20.3027
5.56179,-19.3359
5.58838,-15.0293
5.61461,-5.7129
5.64062,3.1641
5.66694,7.9102
5.68636,7.207
5.71935,3.6035
5.74465,0.2637
5.76409,-1.6699
5.79586,-2.1094
5.81933,-1.4941
5.8472,-0.6152
5.87188,0.2637
5.89893,1.1426
5.92374,1.6699
5.9497,1.9336
5.97555,1.8457
6.00073,1.6699
6.028,1.4941
6.05306,1.4941
6.07853,1.4941
6.10329,1.582
6.12993,1.4941
6.15502,1.582
6.18161,1.4941
6.20307,1.4941
6.23259,1.582
6.25483,1.582
6.28398,1.582
6.31097,1.582
6.33566,1.4941
6.36088,1.4941
6.38615,1.4941
6.41301,1.4941
6.4379,1.4941
6.46348,1.582
6.4881,1.582
6.5154,1.582
6.53723,1.582
6.56605,1.582
6.59208,1.582
6.61636,1.4941
6.64358,1.582
6.66891,1.582
6.69569,1.582
6.72128,1.582
6.74581,1.582
6.7704,1.582
6.7974,1.4941
6.81879,1.4941
6.84809,1.582
6.87138,1.582
6.9009,1.582
6.92715,1.582
6.9522,1.582
6.9781,1.582
7.00393,1.582
7.02921,1.582
7.05307,1.582
7.08063,1.4941
7.10531,1.4941
7.13135,1.582
7.15377,1.582
7.18129,1.582
7.20988,1.582
7.23456,1.582
7.26125,1.4941
7.28616,1.4941
7.31119,1.582
7.33599,1.582
7.36312,1.582
7.38611,1.4941
7.41317,1.582
7.43413,1.4941
7.46609,1.582
7.48816,1.582
7.51749,1.582
7.53589,1.582
7.56824,1.582
7.59427,1.582
7.61822,1.582
7.64573,1.582
7.66966,1.582
7.69722,1.582
7.71821,1.4941
7.74711,1.582
7.76898,1.4941
7.80015,1.4941
7.82619,1.4941
7.85099,1.582
7.87736,1.4941
7.90228,1.4941
7.92796,1.582
7.95137,1.582
7.97885,1.4941
8.00203,1.582
8.02962,1.4941
8.04944,1.4941
8.08188,1.582
8.10897,1.582
8.13341,1.4941
8.15868,1.582
8.18482,1.4941
8.21066,1.4941
8.23588,1.4941
8.26208,1.4941
8.28808,1.4941
8.31377,1.582
8.33605,1.582
8.36396,1.582
8.38648,1.582
8.41598,1.582
8.43488,1.4941
8.46767,1.4941
8.49286,1.582
8.51842,1.582
8.54433,1.582
8.56856,1.4941
