,,Time,Angle
9.88601,-45.2637,0,45.2637
9.91512,-44.9121,0.02911,44.9121
9.94132,-42.2754,0.05531,42.2754
9.96691,-33.4863,0.0809,33.4863
9.99527,-17.4902,0.10926,17.4902
10.01683,1.9336,0.13082,-1.9336
10.04758,15.8203,0.16157,-15.8203
10.07425,19.4238,0.18824,-19.4238
10.09869,13.7988,0.21268,-13.7988
10.12531,5.2734,0.2393,-5.2734
10.14997,-1.9336,0.26396,1.9336
10.17666,-6.5039,0.29065,6.5039
10.20024,-7.6465,0.31423,7.6465
10.22751,-5.9766,0.3415,5.9766
10.25097,-2.9004,0.36496,2.9004
10.27685,0.1758,0.39084,-0.1758
10.29833,2.8125,0.41232,-2.8125
10.32761,4.6582,0.4416,-4.6582
10.35804,5.4492,0.47203,-5.4492
10.38278,5.4492,0.49677,-5.4492
10.4073,4.834,0.52129,-4.834
10.43407,4.043,0.54806,-4.043
10.45892,3.3398,0.57291,-3.3398
10.4814,2.9004,0.59539,-2.9004
10.50993,2.7246,0.62392,-2.7246
10.53355,2.7246,0.64754,-2.7246
10.55884,2.9004,0.67283,-2.9004
10.58248,2.9883,0.69647,-2.9883
10.61306,3.0762,0.72705,-3.0762
10.63993,3.0762,0.75392,-3.0762
10.66443,2.9883,0.77842,-2.9883
10.69022,2.9883,0.80421,-2.9883
10.7153,2.9883,0.82929,-2.9883
10.74142,2.9883,0.85541,-2.9883
10.7676,2.9883,0.88159,-2.9883
10.79253,2.9883,0.90652,-2.9883
10.81818,2.9883,0.93217,-2.9883
10.84408,2.9883,0.95807,-2.9883
10.87022,2.9883,0.98421,-2.9883
10.89302,2.9883,1.00701,-2.9883
10.91495,2.9883,1.02894,-2.9883
10.94728,2.9883,1.06127,-2.9883
10.97349,2.9883,1.08748,-2.9883
10.99794,2.9883,1.11193,-2.9883
11.02433,2.9883,1.13832,-2.9883
11.04776,2.9883,1.16175,-2.9883
11.07533,2.9883,1.18932,-2.9883
11.09744,2.9883,1.21143,-2.9883
11.12743,2.9883,1.24142,-2.9883
11.14946,2.9883,1.26345,-2.9883
11.17793,2.9883,1.29192,-2.9883
11.20205,2.9883,1.31604,-2.9883
11.22941,2.9883,1.3434,-2.9883
11.25633,2.9883,1.37032,-2.9883
11.28079,2.9883,1.39478,-2.9883
11.30665,2.9883,1.42064,-2.9883
11.33222,2.9883,1.44621,-2.9883
11.35816,2.9883,1.47215,-2.9883
11.38143,2.9883,1.49542,-2.9883
11.40963,2.9883,1.52362,-2.9883
11.43459,2.9883,1.54858,-2.9883
11.4595,2.9883,1.57349,-2.9883
11.48071,2.9883,1.5947,-2.9883
11.51196,2.9883,1.62595,-2.9883
11.53099,2.9883,1.64498,-2.9883
11.56334,2.9883,1.67733,-2.9883
11.58901,2.9883,1.703,-2.9883
11.61372,2.9883,1.72771,-2.9883
11.64071,2.9883,1.7547,-2.9883
11.66439,2.9883,1.77838,-2.9883
11.69152,2.9883,1.80551,-2.9883
11.71477,2.9883,1.82876,-2.9883
11.74272,2.9883,1.85671,-2.9883
11.76518,2.9883,1.87917,-2.9883
11.7942,2.9883,1.90819,-2.9883
11.81757,2.9883,1.93156,-2.9883
11.84594,2.9883,1.95993,-2.9883
11.87277,2.9883,1.98676,-2.9883
11.89705,2.9883,2.01104,-2.9883
11.92355,2.9883,2.03754,-2.9883
11.94841,2.9883,2.0624,-2.9883
11.97463,2.9883,2.08862,-2.9883
11.9965,2.9883,2.11049,-2.9883
12.02577,2.9883,2.13976,-2.9883
12.04715,2.9883,2.16114,-2.9883
12.07495,2.9883,2.18894,-2.9883
12.09656,2.9883,2.21055,-2.9883
12.12712,2.9883,2.24111,-2.9883
12.14995,2.9883,2.26394,-2.9883
12.18046,2.9883,2.29445,-2.9883
12.20562,2.9883,2.31961,-2.9883
12.23137,2.9883,2.34536,-2.9883
12.25704,2.9883,2.37103,-2.9883
12.28036,2.9883,2.39435,-2.9883
12.30757,2.9883,2.42156,-2.9883
12.32929,2.9883,2.44328,-2.9883
12.35987,2.9883,2.47386,-2.9883
12.37895,2.9883,2.49294,-2.9883
12.40635,2.9883,2.52034,-2.9883
12.43655,2.9883,2.55054,-2.9883
12.46165,2.9883,2.57564,-2.9883
12.48824,2.9883,2.60223,-2.9883
12.51192,2.9004,2.62591,-2.9004
12.53953,2.9883,2.65352,-2.9883
12.56444,2.9883,2.67843,-2.9883
12.59077,2.9883,2.70476,-2.9883
12.61382,2.9883,2.72781,-2.9883
12.641,2.9883,2.75499,-2.9883
12.66241,2.9883,2.7764,-2.9883
12.69111,2.9883,2.8051,-2.9883
