,,,600 rpm at 10 deg initial deflecion,
,,,Time ,Angle
6.24086,2.6367,,3.70431,-2.6367
6.27039,2.6367,,3.73384,-2.6367
6.29721,2.6367,,3.76066,-2.6367
6.32162,2.6367,,3.78507,-2.6367
6.3475,2.6367,,3.81095,-2.6367
6.37312,2.6367,,3.83657,-2.6367
6.39866,2.6367,,3.86211,-2.6367
6.42396,2.6367,,3.88741,-2.6367
6.45021,2.6367,,3.91366,-2.6367
6.47475,2.6367,,3.9382,-2.6367
6.50114,2.6367,,3.96459,-2.6367
6.52251,2.6367,,3.98596,-2.6367
6.55093,2.6367,,4.01438,-2.6367
6.57325,2.6367,,4.0367,-2.6367
6.60134,2.6367,,4.06479,-2.6367
6.63082,2.6367,,4.09427,-2.6367
6.65597,2.6367,,4.11942,-2.6367
6.68174,2.6367,,4.14519,-2.6367
6.70324,2.6367,,4.16669,-2.6367
6.73281,2.6367,,4.19626,-2.6367
6.75622,2.6367,,4.21967,-2.6367
6.78423,2.6367,,4.24768,-2.6367
6.80778,2.6367,,4.27123,-2.6367
6.83473,2.6367,,4.29818,-2.6367
6.85609,2.6367,,4.31954,-2.6367
6.88593,2.6367,,4.34938,-2.6367
6.9127,2.6367,,4.37615,-2.6367
6.93751,2.6367,,4.40096,-2.6367
6.96405,2.6367,,4.4275,-2.6367
6.98867,2.6367,,4.45212,-2.6367
7.01516,2.6367,,4.47861,-2.6367
7.03837,2.6367,,4.50182,-2.6367
7.06663,2.6367,,4.53008,-2.6367
7.09171,2.6367,,4.55516,-2.6367
7.11765,2.6367,,4.5811,-2.6367
7.13986,2.6367,,4.60331,-2.6367
7.16729,2.6367,,4.63074,-2.6367
7.18923,2.6367,,4.65268,-2.6367
7.22097,2.6367,,4.68442,-2.6367
7.24693,2.6367,,4.71038,-2.6367
7.27189,2.6367,,4.73534,-2.6367
7.29682,2.6367,,4.76027,-2.6367
7.32344,2.6367,,4.78689,-2.6367
7.34881,2.6367,,4.81226,-2.6367
7.37236,2.6367,,4.83581,-2.6367
7.39893,2.6367,,4.86238,-2.6367
7.42275,2.6367,,4.8862,-2.6367
7.45021,2.6367,,4.91366,-2.6367
7.47098,2.6367,,4.93443,-2.6367
7.50353,2.6367,,4.96698,-2.6367
7.52992,2.6367,,4.99337,-2.6367
7.55495,2.6367,,5.0184,-2.6367
7.58064,2.6367,,5.04409,-2.6367
7.60564,2.6367,,5.06909,-2.6367
7.63189,2.6367,,5.09534,-2.6367
7.65554,2.6367,,5.11899,-2.6367
7.6829,2.6367,,5.14635,-2.6367
7.70754,2.6367,,5.17099,-2.6367
7.73204,2.6367,,5.19549,-2.6367
7.75599,2.6367,,5.21944,-2.6367
7.78518,2.6367,,5.24863,-2.6367
7.80444,2.6367,,5.26789,-2.6367
7.83689,2.6367,,5.30034,-2.6367
7.86249,2.6367,,5.32594,-2.6367
7.88831,2.7246,,5.35176,-2.7246
7.91388,2.6367,,5.37733,-2.6367
