,,Time,Angle
4.42858,-45,0,45
4.45845,-43.3301,0.02987,43.3301
4.4846,-38.3203,0.05602,38.3203
4.51177,-26.8066,0.08319,26.8066
4.53522,-8.7891,0.10664,8.7891
4.56379,6.2402,0.13521,-6.2402
4.58981,8.7891,0.16123,-8.7891
4.61536,2.2852,0.18678,-2.2852
4.64148,-3.3398,0.2129,3.3398
4.66658,-5.3613,0.238,5.3613
4.69188,-4.5703,0.2633,4.5703
4.71711,-2.373,0.28853,2.373
4.74386,-0.0879,0.31528,0.0879
4.76495,1.2305,0.33637,-1.2305
4.79521,1.3184,0.36663,-1.3184
4.8176,0.791,0.38902,-0.791
4.84646,0.2637,0.41788,-0.2637
4.8685,-0.0879,0.43992,0.0879
4.89796,-0.0879,0.46938,0.0879
4.92457,0.1758,0.49599,-0.1758
4.94915,0.1758,0.52057,-0.1758
4.97489,0.0879,0.54631,-0.0879
5.00096,0.0879,0.57238,-0.0879
5.02618,0.1758,0.5976,-0.1758
5.05088,0.0879,0.6223,-0.0879
5.07807,0.0879,0.64949,-0.0879
5.1013,0.0879,0.67272,-0.0879
5.12713,0.0879,0.69855,-0.0879
5.14765,0.0879,0.71907,-0.0879
5.18071,0.0879,0.75213,-0.0879
5.2067,0.0879,0.77812,-0.0879
5.23169,0.0879,0.80311,-0.0879
5.25809,0.0879,0.82951,-0.0879
5.28259,0.1758,0.85401,-0.1758
5.30869,0.1758,0.88011,-0.1758
5.33302,0.0879,0.90444,-0.0879
5.35951,0.0879,0.93093,-0.0879
5.38584,0.0879,0.95726,-0.0879
5.41048,0.0879,0.9819,-0.0879
5.43359,0.0879,1.00501,-0.0879
5.45982,0.0879,1.03124,-0.0879
5.48197,0.0879,1.05339,-0.0879
5.5147,0.1758,1.08612,-0.1758
5.54074,0.1758,1.11216,-0.1758
5.56581,0.1758,1.13723,-0.1758
5.59105,0.0879,1.16247,-0.0879
5.61615,0.1758,1.18757,-0.1758
5.64226,0.1758,1.21368,-0.1758
5.66731,0.0879,1.23873,-0.0879
5.69377,0.0879,1.26519,-0.0879
5.71846,0.1758,1.28988,-0.1758
5.74397,0.1758,1.31539,-0.1758
5.7696,0.0879,1.34102,-0.0879
5.79289,0.0879,1.36431,-0.0879
5.82388,0.0879,1.3953,-0.0879
5.84858,0.0879,1.42,-0.0879
5.87392,0.1758,1.44534,-0.1758
5.89982,0.1758,1.47124,-0.1758
5.9251,0.1758,1.49652,-0.1758
5.94966,0.0879,1.52108,-0.0879
5.97655,0.0879,1.54797,-0.0879
6.00044,0.0879,1.57186,-0.0879
6.0281,0.0879,1.59952,-0.0879
6.04864,0.0879,1.62006,-0.0879
6.07915,0.0879,1.65057,-0.0879
6.09966,0.0879,1.67108,-0.0879
6.13031,0.0879,1.70173,-0.0879
6.15742,0.0879,1.72884,-0.0879
6.18264,0.0879,1.75406,-0.0879
6.20686,0.0879,1.77828,-0.0879
6.2317,0.0879,1.80312,-0.0879
6.25926,0.0879,1.83068,-0.0879
6.27993,0.0879,1.85135,-0.0879
6.30957,0.1758,1.88099,-0.1758
6.33092,0.1758,1.90234,-0.1758
6.36127,0.1758,1.93269,-0.1758
6.38612,0.1758,1.95754,-0.1758
6.41297,0.1758,1.98439,-0.1758
6.43843,0.1758,2.00985,-0.1758
6.46352,0.1758,2.03494,-0.1758
6.48964,0.1758,2.06106,-0.1758
6.51523,0.0879,2.08665,-0.0879
6.54209,0.0879,2.11351,-0.0879
6.56649,0.0879,2.13791,-0.0879
6.59331,0.0879,2.16473,-0.0879
6.61904,0.0879,2.19046,-0.0879
6.64348,0.1758,2.2149,-0.1758
6.66762,0.1758,2.23904,-0.1758
6.69291,0.0879,2.26433,-0.0879
6.71829,0.0879,2.28971,-0.0879
6.74676,0.0879,2.31818,-0.0879
6.77255,0.0879,2.34397,-0.0879
6.79819,0.1758,2.36961,-0.1758
6.82371,0.1758,2.39513,-0.1758
6.84857,0.0879,2.41999,-0.0879
6.87571,0.0879,2.44713,-0.0879
6.89814,0.0879,2.46956,-0.0879
6.92646,0.0879,2.49788,-0.0879
6.94862,0.0879,2.52004,-0.0879
6.97716,0.0879,2.54858,-0.0879
6.99676,0.0879,2.56818,-0.0879
7.02951,0,2.60093,0
7.0564,0.0879,2.62782,-0.0879
7.08167,0.1758,2.65309,-0.1758
7.10635,0.1758,2.67777,-0.1758
7.13189,0.0879,2.70331,-0.0879
7.15855,0.1758,2.72997,-0.1758
7.18276,0.1758,2.75418,-0.1758
7.20943,0.1758,2.78085,-0.1758
7.23135,0.1758,2.80277,-0.1758
7.26017,0.1758,2.83159,-0.1758
7.28116,0.0879,2.85258,-0.0879
7.31172,0.0879,2.88314,-0.0879
7.33132,0.1758,2.90274,-0.1758
7.36292,0.1758,2.93434,-0.1758
7.38916,0.0879,2.96058,-0.0879
