Timestamp (s),Angle (deg)
5.82037,-29.6191
5.84916,-29.5312
5.87847,-29.6191
5.90368,-29.6191
5.9314,-29.6191
5.95496,-29.6191
5.98522,-29.6191
6.0115,-29.6191
6.0373,-29.6191
6.06548,-29.6191
6.09287,-29.6191
6.11826,-29.6191
6.14736,-29.6191
6.17109,-29.6191
6.20025,-29.6191
6.22068,-29.6191
6.25394,-29.6191
6.28131,-29.6191
6.30883,-29.6191
6.33441,-29.6191
6.36282,-29.6191
6.38851,-29.6191
6.41714,-29.6191
6.44447,-29.6191
6.47008,-29.6191
6.49702,-29.6191
6.51848,-29.6191
6.55167,-29.6191
6.57865,-29.6191
6.60031,-29.6191
6.63025,-29.6191
6.66048,-29.6191
6.68498,-29.6191
6.713,-29.6191
6.73979,-29.6191
6.76795,-29.6191
6.7942,-29.6191
6.82103,-29.707
6.84716,-29.707
6.86947,-29.707
6.90122,-29.707
6.92968,-29.7949
6.95389,-29.7949
6.98115,-29.7949
7.01051,-29.7949
7.03591,-29.7949
7.06434,-29.7949
7.08874,-29.7949
7.11467,-29.7949
7.14466,-29.7949
7.17016,-29.7949
7.19721,-29.7949
7.22693,-29.7949
7.25234,-29.7949
7.27855,-29.7949
7.30723,-29.8828
7.3329,-29.8828
7.36071,-29.8828
7.38402,-29.8828
7.41314,-29.9707
7.43854,-29.9707
7.46869,-29.9707
7.49581,-29.9707
7.51771,-29.9707
7.54936,-29.9707
7.57619,-29.9707
7.60186,-29.9707
7.63009,-29.9707
7.65559,-29.9707
7.68385,-29.9707
7.71088,-29.9707
7.73476,-29.9707
7.76496,-29.9707
7.79296,-30.0586
7.81236,-30.0586
7.84615,-30.0586
7.86935,-30.0586
7.90056,-30.0586
7.92766,-30.0586
7.95217,-30.0586
7.97928,-30.0586
8.00913,-30.0586
8.03444,-30.0586
8.06239,-30.0586
8.08439,-30.0586
8.11232,-30.0586
8.14363,-30.0586
8.16724,-30.0586
8.19644,-30.0586
8.21654,-30.0586
8.25082,-30.0586
8.27801,-30.0586
8.30276,-30.0586
8.32987,-30.1465
8.35944,-30.0586
8.38326,-30.0586
8.41249,-30.1465
8.43632,-30.1465
8.46538,-30.0586
8.4936,-30.1465
8.52103,-30.0586
8.54534,-30.0586
8.5754,-30.1465
8.60119,-30.0586
8.62919,-30.0586
8.65101,-30.0586
8.67854,-30.0586
8.70991,-30.0586
8.73371,-30.0586
8.76229,-30.0586
8.78308,-30.0586
8.81676,-30.0586
8.84433,-30.0586
8.8688,-30.0586
8.89859,-30.0586
8.92555,-30.0586
8.95118,-30.0586
8.9779,-30.0586
9.00158,-30.0586
9.03367,-30.0586
9.05956,-30.0586
9.08361,-30.1465
9.11159,-30.1465
9.14195,-30.0586
9.16706,-30.0586
9.19429,-30.0586
9.21602,-30.0586
9.24971,-30.0586
9.27612,-30.0586
9.30349,-30.0586
9.33051,-30.0586
9.34929,-30.0586
9.38144,-30.0586
9.41089,-30.0586
9.4366,-30.0586
9.46443,-30.0586
9.49144,-30.0586
