Timestamp (s),Angle (deg)
0.0,-32.168
0.00322,-32.168
0.00524,-32.2559
0.00524,-32.2559
0.00524,-32.3438
0.00524,-32.3438
0.00825,-32.4316
0.00933,-32.4316
0.00933,-32.5195
0.0106,-32.5195
0.01168,-32.6074
0.01168,-32.6953
0.01329,-32.7832
0.01374,-32.7832
0.01517,-32.8711
0.01578,-32.959
0.01681,-33.0469
0.01814,-33.0469
0.01878,-33.1348
0.01925,-33.2227
0.01925,-33.3105
0.02027,-33.3984
0.02127,-33.4863
0.02127,-33.4863
0.02127,-33.5742
0.0228,-33.6621
0.0228,-33.75
0.0228,-33.8379
0.02476,-33.9258
0.02579,-33.9258
0.02579,-34.0137
0.02681,-34.1016
0.02681,-34.1895
0.02681,-34.1895
0.02814,-34.2773
0.02814,-34.3652
0.02814,-34.4531
0.02951,-34.541
0.0302,-34.541
0.0302,-34.6289
0.03191,-34.6289
0.03191,-34.7168
0.03191,-34.8047
0.03434,-34.8926
0.03456,-34.8926
0.03456,-34.9805
0.03562,-34.9805
0.03562,-35.0684
0.03562,-35.1562
0.03671,-35.2441
0.03671,-35.2441
0.03671,-35.332
0.03774,-35.4199
0.03774,-35.4199
0.03774,-35.5078
0.03871,-35.5957
0.03871,-35.6836
0.03909,-35.6836
0.03909,-35.7715
0.03909,-35.8594
0.04011,-35.8594
0.04011,-35.9473
0.04011,-36.0352
0.0413,-36.0352
0.0413,-36.123
0.04235,-36.2109
0.04235,-36.2109
0.04337,-36.2988
0.04337,-36.3867
0.04485,-36.3867
0.04485,-36.4746
0.0462,-36.5625
0.0462,-36.5625
0.0462,-36.6504
0.04766,-36.7383
0.04766,-36.7383
0.06568,-36.8262
0.09481,-36.8262
0.12693,-36.9141
0.15286,-37.002
0.177,-37.002
0.20808,-37.0898
0.2338,-37.1777
0.26169,-37.1777
0.2845,-37.2656
0.31494,-37.3535
0.34237,-37.3535
0.36484,-37.4414
0.39421,-37.5293
0.42482,-37.5293
0.45077,-37.6172
0.47788,-37.7051
0.50028,-37.7051
0.53132,-37.793
0.55815,-37.793
0.58427,-37.8809
0.61278,-37.9688
0.63889,-37.9688
0.66595,-38.0566
0.69381,-38.1445
0.71741,-38.2324
0.74786,-38.2324
0.7746,-38.3203
0.79835,-38.4082
0.8291,-38.4082
0.84619,-38.584
0.8813,-38.584
0.90902,-38.6719
0.93382,-38.7598
0.96189,-38.8477
0.99135,-38.9355
1.01741,-39.0234
1.04461,-39.1113
1.06689,-39.2871
1.09796,-39.2871
1.12487,-39.4629
1.14851,-39.5508
1.17939,-39.6387
1.20489,-39.7266
1.23282,-39.8145
1.2605,-39.9023
1.28659,-39.9902
1.31366,-40.0781
1.34016,-40.166
1.36623,-40.2539
1.39415,-40.3418
1.42045,-40.4297
1.44745,-40.5176
1.47556,-40.6055
1.50012,-40.6934
1.52911,-40.7812
1.55656,-40.8691
1.58032,-40.957
1.60899,-40.957
1.63254,-41.0449
1.66412,-41.1328
1.691,-41.2207
1.71816,-41.2207
1.74563,-41.3086
1.76489,-41.3965
1.79807,-41.3965
1.8262,-41.4844
1.84849,-41.5723
1.88041,-41.5723
1.90686,-41.6602
1.93337,-41.748
1.95998,-41.748
1.98845,-41.8359
2.01388,-41.8359
2.04173,-41.8359
2.06478,-41.9238
2.09284,-41.9238
2.12292,-41.9238
2.14897,-42.0117
2.17681,-42.0117
2.19792,-42.0996
2.23038,-42.0996
2.25848,-42.0996
2.28322,-42.0996
2.31129,-42.1875
2.33979,-42.1875
2.36453,-42.1875
2.39363,-42.1875
2.42037,-42.2754
2.44697,-42.2754
2.47411,-42.2754
2.49892,-42.2754
2.52576,-42.3633
2.54995,-42.3633
2.57985,-42.3633
2.6086,-42.4512
2.63246,-42.4512
2.66323,-42.4512
2.68962,-42.5391
2.71534,-42.5391
2.7432,-42.5391
2.76654,-42.627
2.79746,-42.627
2.82437,-42.627
2.84671,-42.7148
2.87759,-42.7148
2.90609,-42.7148
2.93106,-42.8027
2.959,-42.8027
2.98244,-42.8027
3.0133,-42.8906
3.04018,-42.8906
3.06647,-42.9785
3.09134,-42.9785
3.12234,-42.9785
3.14645,-42.9785
3.17512,-43.0664
3.19892,-43.1543
3.22537,-43.1543
3.25574,-43.2422
3.28001,-43.3301
3.30949,-43.3301
3.3317,-43.418
3.36394,-43.418
3.39099,-43.418
3.41274,-43.5059
3.44405,-43.5938
3.47155,-43.5059
3.49861,-43.5938
3.52618,-43.6816
3.54684,-43.6816
3.57961,-43.6816
3.60659,-43.7695
3.63149,-43.6816
3.66063,-43.7695
3.688,-43.7695
3.71351,-43.8574
3.74197,-43.8574
3.76299,-43.8574
3.79177,-43.8574
3.82286,-43.9453
3.84857,-43.9453
3.87687,-43.9453
3.89653,-43.9453
3.93068,-44.0332
3.95801,-44.0332
3.98267,-44.1211
4.01115,-44.1211
4.03828,-44.1211
4.06475,-44.1211
4.09288,-44.209
4.11622,-44.2969
4.14084,-44.2969
4.17352,-44.2969
4.19498,-44.3848
4.22484,-44.3848
4.25487,-44.3848
4.27866,-44.4727
4.30745,-44.4727
4.32971,-44.4727
4.36159,-44.5605
4.38861,-44.6484
4.41273,-44.6484
4.44357,-44.6484
4.47097,-44.7363
4.49507,-44.7363
4.52434,-44.7363
4.54599,-44.8242
4.57793,-44.8242
4.60436,-44.8242
4.62959,-44.9121
4.65662,-44.9121
4.67869,-44.9121
4.71215,-45.0
4.73959,-45.0
4.76575,-45.0
4.79384,-45.0879
4.82045,-45.0879
4.84659,-45.0879
4.87338,-45.1758
4.89569,-45.1758
4.92736,-45.1758
4.95575,-45.2637
4.98143,-45.2637
5.00685,-45.3516
5.03732,-45.3516
5.05972,-45.3516
5.08924,-45.4395
5.11571,-45.4395
5.14362,-45.5273
5.17151,-45.5273
5.19496,-45.5273
5.2235,-45.5273
5.24812,-45.6152
5.27908,-45.6152
5.30569,-45.7031
5.33135,-45.7031
5.36059,-45.7031
5.38694,-45.7031
5.41418,-45.7031
5.43984,-45.7031
5.46386,-45.7031
5.49455,-45.7031
5.52222,-45.7031
5.54944,-45.7031
5.57344,-45.7031
5.60344,-45.7031
5.6286,-45.7031
5.65657,-45.7031
5.68372,-45.7031
5.70943,-45.7031
5.73764,-45.7031
5.76071,-45.791
5.79045,-45.7031
5.81914,-45.791
5.84626,-45.791
5.87288,-45.791
5.89601,-45.791
5.92624,-45.791
5.95395,-45.791
5.97899,-45.791
6.00747,-45.791
6.03337,-45.791
6.06049,-45.791
6.0886,-45.791
6.11063,-45.791
6.14001,-45.791
6.16917,-45.791
6.19557,-45.791
6.22295,-45.791
6.24922,-45.791
6.27666,-45.791
6.30413,-45.791
6.3278,-45.791
6.3588,-45.8789
6.38614,-45.791
6.41173,-45.791
6.43924,-45.791
6.46091,-45.791
6.49155,-45.791
6.52023,-45.8789
6.54513,-45.791
6.57312,-45.791
6.5932,-45.791
6.6278,-45.791
6.65452,-45.791
6.67928,-45.791
6.70561,-45.791
6.73554,-45.791
6.759,-45.791
6.78955,-45.791
6.81142,-45.791
6.84292,-45.791
6.87101,-45.8789
6.89613,-45.791
6.92194,-45.791
6.95187,-45.8789
6.97679,-45.8789
7.00482,-45.8789
7.02653,-45.8789
7.05946,-45.8789
7.0864,-45.8789
7.11054,-45.8789
7.13869,-45.8789
7.16834,-45.8789
7.19397,-45.8789
7.22182,-45.8789
7.24512,-45.8789
7.27452,-45.8789
7.30243,-45.8789
7.327,-45.8789
7.35451,-45.8789
7.37533,-45.8789
7.40864,-45.8789
7.43708,-45.8789
7.46268,-45.8789
7.48846,-45.8789
7.51808,-45.8789
7.54414,-45.8789
7.57112,-45.8789
7.59521,-45.8789
7.62604,-45.8789
7.65263,-45.8789
7.67571,-45.8789
7.7072,-45.8789
7.73485,-45.8789
7.75901,-45.8789
7.78778,-45.8789
7.80804,-45.8789
7.8402,-45.8789
7.86909,-45.8789
7.89589,-45.8789
7.92012,-45.8789
7.94408,-45.8789
7.97718,-45.8789
8.00413,-45.8789
8.02507,-45.8789
8.05458,-45.8789
8.08425,-45.8789
8.11208,-45.8789
8.13759,-45.8789
8.15978,-45.8789
8.19261,-45.8789
8.21947,-45.8789
8.24512,-45.8789
8.27383,-45.8789
8.30099,-45.8789
8.32594,-45.8789
8.35238,-45.8789
8.37796,-45.8789
8.40877,-45.8789
8.43514,-45.8789
8.45869,-45.8789
8.48717,-45.8789
8.50948,-45.8789
8.54273,-45.8789
8.57013,-45.8789
8.59708,-45.8789
8.62003,-45.8789
8.65141,-45.8789
8.67825,-45.8789
8.70379,-45.8789
8.73152,-45.8789
8.75829,-45.9668
8.78631,-45.8789
8.81258,-45.8789
8.83756,-45.9668
8.86713,-45.9668
8.89355,-45.9668
8.92029,-45.9668
8.94295,-45.9668
8.97464,-45.9668
9.00237,-45.9668
9.02922,-45.9668
9.05426,-45.9668
9.08297,-45.9668
9.10788,-45.9668
9.13681,-45.9668
9.15994,-45.8789
9.19034,-44.9121
9.21785,-39.9023
9.24518,-25.0488
9.27197,-2.7246
9.29401,13.623
9.32307,14.4141
9.34949,5.1855
9.37417,-3.1641
9.39998,-7.3828
9.42525,-6.9434
9.45091,-3.9551
9.47404,-0.4395
9.50301,2.2852
9.52636,3.6035
9.55305,3.6035
9.57843,2.9004
9.60565,1.8457
9.62368,1.0547
9.65669,0.7031
9.68306,0.7031
9.70757,0.791
9.73382,1.0547
9.75957,1.2305
9.78535,1.1426
9.80832,1.0547
9.83695,1.1426
9.85833,1.0547
9.88804,1.0547
9.90769,1.1426
9.93884,1.1426
9.96618,1.0547
9.99024,1.0547
10.01597,1.1426
10.04044,1.1426
10.06782,1.1426
10.0932,1.1426
10.11925,1.1426
10.14091,1.0547
10.16822,1.1426
10.19043,1.1426
10.22167,1.1426
10.2404,1.1426
10.27323,1.1426
10.29911,1.1426
10.32447,1.1426
10.35014,1.1426
10.37456,1.1426
10.40202,1.1426
10.42696,1.1426
10.45392,1.1426
10.47475,1.1426
10.50423,1.1426
10.52285,1.1426
10.55567,1.1426
10.58221,1.1426
10.60705,1.1426
10.63314,1.1426
10.65782,1.1426
10.68406,1.1426
10.70902,1.1426
10.73528,1.1426
10.76015,1.1426
10.78639,1.1426
10.80665,1.2305
10.83738,1.1426
10.86503,1.1426
10.88822,1.2305
10.91511,1.1426
10.93953,1.1426
10.96708,1.1426
10.9912,1.1426
11.01766,1.1426
11.04189,1.1426
11.06882,1.1426
11.09041,1.1426
11.1175,1.1426
11.1424,1.1426
11.1721,1.1426
11.1977,1.1426
11.2232,1.1426
11.24912,1.1426
11.27543,1.1426
11.30036,1.1426
11.32454,1.1426
11.35136,1.1426
11.3745,1.1426
11.40299,1.1426
11.42568,1.1426
11.45459,1.1426
11.48136,1.1426
11.50589,1.1426
11.53227,1.1426
11.55793,1.1426
11.58362,1.1426
11.6072,1.1426
11.63429,1.2305
11.65733,1.1426
11.68556,1.1426
11.70776,1.1426
11.73558,1.1426
11.75553,1.0547
11.78932,1.1426
11.81431,1.1426
11.84014,1.0547
11.86542,1.1426
11.88982,1.1426
11.91743,1.1426
11.93848,1.1426
11.96741,1.1426
11.99357,1.1426
