Timestamp (s),Angle (deg)
0.00202,-38.8477
0.00352,-38.8477
0.00352,-38.8477
0.00478,-38.9355
0.00478,-38.9355
0.00615,-38.9355
0.00615,-38.9355
0.00615,-39.0234
0.00785,-39.0234
0.00862,-39.0234
0.00862,-39.0234
0.00971,-39.0234
0.00971,-39.1113
0.00971,-39.1113
0.01106,-39.1113
0.01163,-39.1992
0.01276,-39.1992
0.01333,-39.1992
0.01333,-39.2871
0.01333,-39.2871
0.01333,-39.2871
0.01333,-39.2871
0.01333,-39.375
0.01333,-39.4629
0.01814,-39.4629
0.01814,-39.5508
0.01921,-39.5508
0.01921,-39.6387
0.01921,-39.6387
0.02026,-39.7266
0.02026,-39.7266
0.02026,-39.7266
0.02165,-39.7266
0.02165,-39.8145
0.02265,-39.8145
0.02265,-39.9023
0.02365,-39.9023
0.02365,-39.9902
0.02365,-39.9902
0.02504,-40.0781
0.02547,-40.0781
0.02579,-40.166
0.02691,-40.2539
0.02771,-40.2539
0.0282,-40.3418
0.02923,-40.4297
0.02923,-40.4297
0.02923,-40.5176
0.03023,-40.6055
0.03023,-40.6055
0.03023,-40.6934
0.03023,-40.7812
0.03023,-40.8691
0.03023,-40.957
0.03256,-41.0449
0.03256,-41.1328
0.03256,-41.1328
0.03256,-41.3086
0.03363,-41.3086
0.03363,-41.3965
0.03363,-41.4844
0.03363,-41.4844
0.03363,-41.5723
0.03487,-41.5723
0.03487,-41.6602
0.03487,-41.748
0.03487,-41.748
0.03487,-41.8359
0.03634,-41.8359
0.03634,-41.8359
0.03634,-41.9238
0.03634,-41.9238
0.03734,-42.0117
0.03734,-42.0117
0.03734,-42.0996
0.04599,-42.0996
0.07317,-42.1875
0.09705,-42.2754
0.12679,-42.2754
0.15437,-42.3633
0.17867,-42.4512
0.20813,-42.4512
0.22895,-42.4512
0.26174,-42.5391
0.28981,-42.627
0.31503,-42.627
0.34135,-42.7148
0.37069,-42.7148
0.39741,-42.8027
0.42441,-42.8027
0.44502,-42.8027
0.47791,-42.8906
0.50498,-42.8906
0.52943,-42.9785
0.55826,-42.9785
0.58696,-43.0664
0.61296,-43.0664
0.63917,-43.1543
0.66422,-43.1543
0.69386,-43.2422
0.72042,-43.3301
0.74546,-43.3301
0.77404,-43.418
0.7955,-43.418
0.82908,-43.5059
0.85551,-43.5938
0.87939,-43.5938
0.90926,-43.6816
0.93706,-43.6816
0.96323,-43.7695
0.99021,-43.8574
1.01476,-43.8574
1.04141,-43.9453
1.07167,-44.0332
1.09824,-44.1211
1.12621,-44.1211
1.15113,-44.1211
1.17761,-44.209
1.20529,-44.209
1.23075,-44.2969
1.25558,-44.2969
1.28802,-44.3848
1.31006,-44.3848
1.34089,-44.3848
1.36398,-44.4727
1.39548,-44.4727
1.42229,-44.4727
1.44616,-44.4727
1.47299,-44.5605
1.49801,-44.5605
1.52876,-44.5605
1.55713,-44.6484
1.5802,-44.6484
1.61141,-44.6484
1.63846,-44.7363
1.66303,-44.7363
1.69058,-44.7363
1.71977,-44.7363
1.74024,-44.8242
1.77302,-44.8242
1.79854,-44.8242
1.82682,-44.8242
1.8537,-44.9121
1.8799,-44.9121
1.90558,-44.9121
1.93562,-44.9121
1.96198,-45.0
1.98897,-45.0
2.01434,-45.0
2.04279,-45.0879
2.06957,-45.0879
2.0964,-45.0879
2.12074,-45.0879
2.14287,-45.0879
2.17402,-45.1758
2.20404,-45.1758
2.23031,-45.2637
2.25526,-45.2637
2.28561,-45.3516
2.31087,-45.3516
2.33952,-45.3516
2.36353,-45.3516
2.39268,-45.4395
2.41995,-45.4395
2.44354,-45.4395
2.47195,-45.4395
2.50054,-45.4395
2.52632,-45.4395
2.55464,-45.4395
2.57895,-45.4395
2.60866,-45.4395
2.63611,-45.5273
2.6593,-45.5273
2.68982,-45.5273
2.71835,-45.5273
2.74371,-45.5273
2.77118,-45.5273
2.79745,-45.5273
2.8244,-45.5273
2.85122,-45.5273
2.87717,-45.5273
2.90527,-45.5273
2.92857,-45.5273
2.96028,-45.5273
2.98647,-45.5273
3.00963,-45.5273
3.03796,-45.5273
3.06829,-45.6152
3.09239,-45.6152
3.12139,-45.5273
3.14373,-45.6152
3.1759,-45.6152
3.20258,-45.6152
3.22894,-45.6152
3.25475,-45.5273
3.27782,-45.5273
3.30864,-45.6152
3.33693,-45.5273
3.36147,-45.6152
3.38959,-45.6152
3.41723,-45.5273
3.44481,-45.5273
3.47134,-45.6152
3.49406,-45.6152
3.52581,-45.6152
3.5528,-45.6152
3.57824,-45.6152
3.60498,-45.6152
3.63456,-45.6152
3.65976,-45.6152
3.68826,-45.6152
3.7113,-45.6152
3.74166,-45.6152
3.76866,-45.6152
3.79557,-45.6152
3.82249,-45.6152
3.85082,-45.6152
3.87563,-45.6152
3.90372,-45.6152
3.92696,-45.6152
3.95666,-45.6152
3.98513,-45.6152
4.00979,-45.6152
4.03899,-45.6152
4.0602,-45.6152
4.09195,-45.6152
4.11931,-45.6152
4.14187,-45.6152
4.17266,-45.6152
4.20045,-45.6152
4.22514,-45.6152
4.25255,-45.6152
4.28058,-45.6152
4.30803,-45.6152
4.33517,-45.6152
4.35897,-45.6152
4.38882,-45.6152
4.41637,-45.6152
4.44224,-45.6152
4.47029,-45.6152
4.49383,-45.6152
4.52239,-45.6152
4.55126,-45.6152
4.57778,-45.6152
4.60462,-45.6152
4.63319,-45.6152
4.65782,-45.6152
4.68566,-45.6152
4.70993,-45.6152
4.73782,-45.6152
4.7668,-45.6152
4.79314,-45.6152
4.82105,-45.6152
4.84284,-45.6152
4.87475,-45.6152
4.90107,-45.6152
4.92462,-45.6152
4.95621,-45.6152
4.98316,-45.6152
5.00949,-45.6152
5.03629,-45.6152
5.06204,-45.6152
5.09039,-45.6152
5.1175,-45.6152
5.14387,-45.6152
5.17042,-45.6152
5.19923,-45.7031
5.22604,-45.6152
5.25273,-45.6152
5.27918,-45.7031
5.30623,-45.7031
5.33388,-45.7031
5.35887,-45.7031
5.38697,-45.7031
5.41582,-45.7031
5.44195,-45.7031
5.4686,-45.7031
5.49429,-45.7031
5.52174,-45.7031
5.54911,-45.7031
5.5684,-45.7031
5.60344,-45.791
5.62651,-45.791
5.65798,-45.7031
5.68346,-45.791
5.70838,-45.791
5.73689,-45.791
5.76587,-45.791
5.78638,-45.791
5.81909,-45.791
5.83968,-45.791
5.87292,-45.791
5.90009,-45.791
5.9259,-45.791
5.95352,-45.791
5.976,-45.791
6.00767,-45.791
6.03473,-45.791
6.05778,-45.791
6.08479,-45.791
6.11633,-45.791
6.14178,-45.791
6.16909,-45.791
6.18916,-45.791
6.22332,-45.8789
6.25077,-45.8789
6.27571,-45.8789
6.30405,-45.791
6.32344,-44.8242
6.35777,-38.7598
6.38511,-24.6973
6.41023,-5.5371
6.43753,10.1074
6.46292,15.7324
6.48946,11.1621
6.51534,3.252
6.5402,-3.1641
6.56693,-6.6797
6.59073,-6.8555
6.6164,-4.7461
6.64078,-2.0215
6.66874,0.4395
6.69146,2.373
6.72089,3.4277
6.74028,3.5156
6.76933,3.0762
6.7981,2.373
6.82297,1.8457
6.84923,1.4941
6.87456,1.4062
6.90007,1.4941
6.92465,1.582
6.95068,1.6699
6.97398,1.6699
7.00094,1.6699
7.02134,1.582
7.05429,1.582
7.07717,1.582
7.10485,1.6699
7.1311,1.6699
7.15641,1.6699
7.18332,1.6699
7.20861,1.6699
7.23406,1.582
7.25899,1.582
7.28537,1.6699
7.30989,1.6699
7.33668,1.6699
7.36386,1.6699
7.38793,1.582
7.4141,1.582
7.43931,1.6699
7.46511,1.6699
7.48494,1.582
7.51638,1.582
7.54045,1.582
7.56832,1.6699
7.58911,1.6699
7.62004,1.6699
7.64055,1.6699
7.66767,1.6699
7.69751,1.6699
7.72224,1.6699
7.74727,1.582
7.77376,1.582
7.79937,1.6699
7.82448,1.6699
7.85098,1.6699
7.87369,1.6699
7.90207,1.582
7.92687,1.582
7.95147,1.582
7.97999,1.582
8.0047,1.582
8.03136,1.6699
8.05674,1.6699
8.0824,1.582
8.1064,1.6699
8.13316,1.6699
8.15446,1.6699
8.184,1.6699
8.21122,1.6699
8.23444,1.582
8.26311,1.582
8.28747,1.6699
8.31149,1.6699
8.33953,1.6699
8.3645,1.6699
8.38389,1.582
8.41564,1.582
8.43949,1.582
8.46783,1.6699
8.49079,1.6699
8.51869,1.582
8.54014,1.582
8.56931,1.582
8.58919,1.6699
8.62177,1.582
8.64757,1.6699
8.67304,1.6699
8.69827,1.6699
8.72121,1.6699
8.74995,1.582
8.76942,1.582
8.80085,1.582
8.8213,1.582
8.85218,1.6699
8.87397,1.582
8.90403,1.582
8.92946,1.582
8.95455,1.582
8.98129,1.582
9.00548,1.582
9.03213,1.6699
9.0567,1.6699
9.08239,1.582
9.10449,1.582
9.13473,1.582
9.15384,1.582
9.18675,1.582
9.21197,1.582
9.23726,1.6699
9.26346,1.6699
9.28896,1.6699
9.31453,1.582
9.33655,1.582
9.36641,1.582
9.38853,1.582
9.41679,1.582
9.43664,1.582
9.46633,1.582
9.49567,1.582
9.51578,1.6699
9.53841,1.6699
9.57103,1.6699
9.59751,1.582
9.61621,1.582
9.64873,1.6699
9.67017,1.582
9.7,1.582
9.72202,1.582
9.74936,1.582
9.7729,1.6699
9.80317,1.6699
9.82889,1.6699
9.8542,1.582
9.88011,1.582
9.90447,1.6699
9.93076,1.6699
9.95101,1.6699
9.98142,1.582
10.0036,1.582
10.03403,1.582
10.05472,1.6699
10.08479,1.6699
10.11122,1.6699
10.13671,1.582
10.16242,1.582
10.18739,1.582
10.21334,1.582
10.23743,1.582
10.265,1.582
10.28598,1.582
10.31518,1.582
10.34191,1.582
