,,Time,Angle
3.63941,-19.7754,0,19.7754
3.66309,-17.2266,0.02368,17.2266
3.692,-9.1406,0.05259,9.1406
3.71577,0.0879,0.07636,-0.0879
3.74478,5.0098,0.10537,-5.0098
3.76653,4.3066,0.12712,-4.3066
3.79625,1.1426,0.15684,-1.1426
3.82263,-1.3184,0.18322,1.3184
3.84785,-2.1973,0.20844,2.1973
3.87357,-1.8457,0.23416,1.8457
3.89772,-0.9668,0.25831,0.9668
3.92499,-0.1758,0.28558,0.1758
3.94786,0.4395,0.30845,-0.4395
3.97577,0.6152,0.33636,-0.6152
4.00058,0.5273,0.36117,-0.5273
4.02487,0.2637,0.38546,-0.2637
4.04918,0.1758,0.40977,-0.1758
4.07502,0.2637,0.43561,-0.2637
4.09797,0.3516,0.45856,-0.3516
4.12983,0.3516,0.49042,-0.3516
4.15556,0.3516,0.51615,-0.3516
4.18039,0.3516,0.54098,-0.3516
4.20777,0.3516,0.56836,-0.3516
4.22886,0.3516,0.58945,-0.3516
4.25874,0.3516,0.61933,-0.3516
4.28418,0.3516,0.64477,-0.3516
4.30971,0.2637,0.6703,-0.2637
4.32885,0.2637,0.68944,-0.2637
4.36107,0.2637,0.72166,-0.2637
4.37987,0.1758,0.74046,-0.1758
4.41216,0.3516,0.77275,-0.3516
4.43856,0.3516,0.79915,-0.3516
4.4626,0.3516,0.82319,-0.3516
4.48958,0.3516,0.85017,-0.3516
4.51417,0.3516,0.87476,-0.3516
4.5409,0.3516,0.90149,-0.3516
4.56369,0.3516,0.92428,-0.3516
4.5921,0.3516,0.95269,-0.3516
4.61437,0.2637,0.97496,-0.2637
4.64109,0.3516,1.00168,-0.3516
4.66435,0.2637,1.02494,-0.2637
4.69059,0.3516,1.05118,-0.3516
4.72168,0.2637,1.08227,-0.2637
4.74602,0.3516,1.10661,-0.3516
4.77259,0.3516,1.13318,-0.3516
4.79818,0.3516,1.15877,-0.3516
4.82371,0.3516,1.1843,-0.3516
4.84772,0.4395,1.20831,-0.4395
4.87483,0.2637,1.23542,-0.2637
4.89825,0.2637,1.25884,-0.2637
4.92564,0.4395,1.28623,-0.4395
4.94888,0.4395,1.30947,-0.4395
4.97655,0.3516,1.33714,-0.3516
5.00359,0.3516,1.36418,-0.3516
5.02863,0.2637,1.38922,-0.2637
5.05432,0.2637,1.41491,-0.2637
5.08049,0.3516,1.44108,-0.3516
5.10629,0.4395,1.46688,-0.4395
5.13211,0.4395,1.4927,-0.4395
5.15779,0.3516,1.51838,-0.3516
5.17966,0.3516,1.54025,-0.3516
5.2085,0.3516,1.56909,-0.3516
5.23028,0.3516,1.59087,-0.3516
5.26041,0.3516,1.621,-0.3516
5.28019,0.3516,1.64078,-0.3516
5.31114,0.3516,1.67173,-0.3516
5.3379,0.3516,1.69849,-0.3516
5.36281,0.3516,1.7234,-0.3516
5.38877,0.2637,1.74936,-0.2637
5.40741,0.3516,1.768,-0.3516
5.44013,0.3516,1.80072,-0.3516
5.46189,0.3516,1.82248,-0.3516
5.49145,0.3516,1.85204,-0.3516
5.51271,0.2637,1.8733,-0.2637
5.54148,0.3516,1.90207,-0.3516
5.56521,0.3516,1.9258,-0.3516
5.59402,0.2637,1.95461,-0.2637
5.62036,0.2637,1.98095,-0.2637
5.64493,0.2637,2.00552,-0.2637
5.67078,0.3516,2.03137,-0.3516
5.69644,0.2637,2.05703,-0.2637
5.72172,0.2637,2.08231,-0.2637
5.7454,0.2637,2.10599,-0.2637
5.77379,0.3516,2.13438,-0.3516
5.80027,0.2637,2.16086,-0.2637
5.82478,0.3516,2.18537,-0.3516
5.84583,0.2637,2.20642,-0.2637
5.87427,0.2637,2.23486,-0.2637
5.90051,0.2637,2.2611,-0.2637
5.92442,0.2637,2.28501,-0.2637
5.95411,0.2637,2.3147,-0.2637
5.97946,0.2637,2.34005,-0.2637
6.00476,0.3516,2.36535,-0.3516
6.0304,0.3516,2.39099,-0.3516
6.05625,0.2637,2.41684,-0.2637
