,,Time,Angle
4.77034,-30.2344,0,30.2344
4.78875,-27.9492,0.01841,27.9492
4.82186,-21.1816,0.05152,21.1816
4.85177,-7.0312,0.08143,7.0312
4.87627,5.0098,0.10593,-5.0098
4.90168,7.6465,0.13134,-7.6465
4.92215,2.6367,0.15181,-2.6367
4.95355,-2.1973,0.18321,2.1973
4.97586,-4.2188,0.20552,4.2188
5.00445,-3.8672,0.23411,3.8672
5.0279,-2.2852,0.25756,2.2852
5.05576,-0.4395,0.28542,0.4395
5.0779,0.791,0.30756,-0.791
5.10563,1.0547,0.33529,-1.0547
5.13448,0.791,0.36414,-0.791
5.15892,0.3516,0.38858,-0.3516
5.18486,0.0879,0.41452,-0.0879
5.20537,0.0879,0.43503,-0.0879
5.23564,0.2637,0.4653,-0.2637
5.26203,0.3516,0.49169,-0.3516
5.28787,0.2637,0.51753,-0.2637
5.3112,0.1758,0.54086,-0.1758
5.33917,0.1758,0.56883,-0.1758
5.36225,0.1758,0.59191,-0.1758
5.39015,0.1758,0.61981,-0.1758
5.40944,0.2637,0.6391,-0.2637
5.43981,0.2637,0.66947,-0.2637
5.46765,0.2637,0.69731,-0.2637
5.49302,0.2637,0.72268,-0.2637
5.51872,0.2637,0.74838,-0.2637
5.54337,0.1758,0.77303,-0.1758
5.56889,0.1758,0.79855,-0.1758
5.59342,0.1758,0.82308,-0.1758
5.62055,0.1758,0.85021,-0.1758
5.64561,0.2637,0.87527,-0.2637
5.67109,0.3516,0.90075,-0.3516
5.69319,0.2637,0.92285,-0.2637
5.72349,0.1758,0.95315,-0.1758
5.7503,0.1758,0.97996,-0.1758
5.77573,0.1758,1.00539,-0.1758
5.80079,0.1758,1.03045,-0.1758
5.82663,0.1758,1.05629,-0.1758
5.85276,0.1758,1.08242,-0.1758
5.87626,0.2637,1.10592,-0.2637
5.90321,0.2637,1.13287,-0.2637
5.92681,0.2637,1.15647,-0.2637
5.95469,0.2637,1.18435,-0.2637
5.97581,0.2637,1.20547,-0.2637
6.0063,0.2637,1.23596,-0.2637
6.03339,0.3516,1.26305,-0.3516
6.05769,0.2637,1.28735,-0.2637
6.08389,0.1758,1.31355,-0.1758
6.10944,0.1758,1.3391,-0.1758
6.13487,0.1758,1.36453,-0.1758
6.15831,0.1758,1.38797,-0.1758
6.18628,0.2637,1.41594,-0.2637
6.21087,0.2637,1.44053,-0.2637
6.23752,0.2637,1.46718,-0.2637
6.25888,0.2637,1.48854,-0.2637
6.2869,0.1758,1.51656,-0.1758
6.30739,0.2637,1.53705,-0.2637
6.34064,0.2637,1.5703,-0.2637
6.36693,0.1758,1.59659,-0.1758
6.39165,0.1758,1.62131,-0.1758
6.41752,0.1758,1.64718,-0.1758
6.44202,0.2637,1.67168,-0.2637
6.4684,0.3516,1.69806,-0.3516
6.49421,0.2637,1.72387,-0.2637
6.51976,0.2637,1.74942,-0.2637
6.54141,0.1758,1.77107,-0.1758
6.56969,0.1758,1.79935,-0.1758
6.59338,0.2637,1.82304,-0.2637
6.62399,0.2637,1.85365,-0.2637
6.64944,0.1758,1.8791,-0.1758
6.67474,0.0879,1.9044,-0.0879
6.6918,0.1758,1.92146,-0.1758
6.72606,0.2637,1.95572,-0.2637
6.75116,0.2637,1.98082,-0.2637
6.77663,0.2637,2.00629,-0.2637
6.80648,0.2637,2.03614,-0.2637
6.82567,0.2637,2.05533,-0.2637
6.85326,0.2637,2.08292,-0.2637
6.87467,0.2637,2.10433,-0.2637
6.90442,0.2637,2.13408,-0.2637
6.92403,0.2637,2.15369,-0.2637
6.95647,0.2637,2.18613,-0.2637
6.98305,0.2637,2.21271,-0.2637
7.0089,0.2637,2.23856,-0.2637
7.03319,0.2637,2.26285,-0.2637
7.05848,0.1758,2.28814,-0.1758
7.08492,0.1758,2.31458,-0.1758
7.11113,0.2637,2.34079,-0.2637
7.136,0.2637,2.36566,-0.2637
7.16143,0.1758,2.39109,-0.1758
7.18702,0.1758,2.41668,-0.1758
7.21193,0.1758,2.44159,-0.1758
7.2398,0.2637,2.46946,-0.2637
7.26569,0.2637,2.49535,-0.2637
7.29009,0.1758,2.51975,-0.1758
7.316,0.1758,2.54566,-0.1758
7.34203,0.2637,2.57169,-0.2637
7.36784,0.2637,2.5975,-0.2637
7.39357,0.2637,2.62323,-0.2637
7.41903,0.2637,2.64869,-0.2637
7.44325,0.3516,2.67291,-0.3516
7.47052,0.2637,2.70018,-0.2637
7.49569,0.2637,2.72535,-0.2637
