,,Time,Angle
6.41246,-20.127,0,20.127
6.44029,-18.1055,0.02783,18.1055
6.46997,-10.5469,0.05751,10.5469
6.4944,-0.1758,0.08194,0.1758
6.52235,6.8555,0.10989,-6.8555
6.54548,9.3164,0.13302,-9.3164
6.57357,7.2949,0.16111,-7.2949
6.60641,3.6035,0.19395,-3.6035
6.62472,0.2637,0.21226,-0.2637
6.64836,-1.7578,0.2359,1.7578
6.67643,-2.4609,0.26397,2.4609
6.70182,-2.1973,0.28936,2.1973
6.72727,-1.4062,0.31481,1.4062
6.7533,-0.5273,0.34084,0.5273
6.77838,0.3516,0.36592,-0.3516
6.80566,1.1426,0.3932,-1.1426
6.8293,1.7578,0.41684,-1.7578
6.85531,2.1094,0.44285,-2.1094
6.87733,2.1094,0.46487,-2.1094
6.90468,1.9336,0.49222,-1.9336
6.93321,1.7578,0.52075,-1.7578
6.95862,1.6699,0.54616,-1.6699
6.9777,1.7578,0.56524,-1.7578
7.01054,1.8457,0.59808,-1.8457
7.03599,1.7578,0.62353,-1.7578
7.05499,1.7578,0.64253,-1.7578
7.08692,1.7578,0.67446,-1.7578
7.11049,1.7578,0.69803,-1.7578
7.13876,1.7578,0.7263,-1.7578
7.1618,1.7578,0.74934,-1.7578
7.18907,1.7578,0.77661,-1.7578
7.21115,1.7578,0.79869,-1.7578
7.24123,1.7578,0.82877,-1.7578
7.26267,1.7578,0.85021,-1.7578
7.29263,1.7578,0.88017,-1.7578
7.3188,1.7578,0.90634,-1.7578
7.34437,1.7578,0.93191,-1.7578
7.36993,1.7578,0.95747,-1.7578
7.39469,1.6699,0.98223,-1.6699
7.42095,1.7578,1.00849,-1.7578
7.44539,1.7578,1.03293,-1.7578
7.47231,1.7578,1.05985,-1.7578
7.49766,1.7578,1.0852,-1.7578
7.52423,1.7578,1.11177,-1.7578
7.54426,1.6699,1.1318,-1.6699
7.57574,1.6699,1.16328,-1.6699
7.60206,1.7578,1.1896,-1.7578
7.6263,1.7578,1.21384,-1.7578
7.65209,1.7578,1.23963,-1.7578
7.6753,1.7578,1.26284,-1.7578
7.7041,1.7578,1.29164,-1.7578
7.72562,1.7578,1.31316,-1.7578
7.75492,1.6699,1.34246,-1.6699
7.77664,1.7578,1.36418,-1.7578
7.8061,1.7578,1.39364,-1.7578
7.82588,1.7578,1.41342,-1.7578
7.85756,1.7578,1.4451,-1.7578
7.88472,1.7578,1.47226,-1.7578
7.90962,1.7578,1.49716,-1.7578
7.93502,1.7578,1.52256,-1.7578
7.96067,1.7578,1.54821,-1.7578
7.98602,1.7578,1.57356,-1.7578
8.01158,1.7578,1.59912,-1.7578
8.03726,1.7578,1.6248,-1.7578
8.06274,1.7578,1.65028,-1.7578
8.08807,1.6699,1.67561,-1.6699
8.11049,1.6699,1.69803,-1.6699
8.14009,1.7578,1.72763,-1.7578
8.15974,1.7578,1.74728,-1.7578
8.1925,1.7578,1.78004,-1.7578
8.21826,1.7578,1.8058,-1.7578
8.24273,1.7578,1.83027,-1.7578
8.26882,1.7578,1.85636,-1.7578
8.2934,1.7578,1.88094,-1.7578
8.32002,1.7578,1.90756,-1.7578
8.34486,1.7578,1.9324,-1.7578
8.37058,1.7578,1.95812,-1.7578
8.39288,1.7578,1.98042,-1.7578
8.42058,1.6699,2.00812,-1.6699
8.44729,1.6699,2.03483,-1.6699
8.47366,1.7578,2.0612,-1.7578
8.4961,1.7578,2.08364,-1.7578
8.52531,1.7578,2.11285,-1.7578
8.55114,1.6699,2.13868,-1.6699
8.57485,1.7578,2.16239,-1.7578
8.60224,1.7578,2.18978,-1.7578
8.62647,1.6699,2.21401,-1.6699
8.65434,1.7578,2.24188,-1.7578
8.68025,1.7578,2.26779,-1.7578
8.70343,1.7578,2.29097,-1.7578
8.72527,1.6699,2.31281,-1.6699
8.7567,1.7578,2.34424,-1.7578
8.77752,1.7578,2.36506,-1.7578
8.80766,1.6699,2.3952,-1.6699
8.83432,1.7578,2.42186,-1.7578
8.85805,1.7578,2.44559,-1.7578
8.8851,1.7578,2.47264,-1.7578
8.91089,1.7578,2.49843,-1.7578
8.93657,1.7578,2.52411,-1.7578
8.95968,1.7578,2.54722,-1.7578
8.98715,1.7578,2.57469,-1.7578
9.00772,1.7578,2.59526,-1.7578
9.03895,1.7578,2.62649,-1.7578
9.06108,1.6699,2.64862,-1.6699
9.09049,1.7578,2.67803,-1.7578
9.11212,1.7578,2.69966,-1.7578
9.14065,1.7578,2.72819,-1.7578
9.16714,1.7578,2.75468,-1.7578
9.19251,1.7578,2.78005,-1.7578
9.21914,1.6699,2.80668,-1.6699
9.24339,1.6699,2.83093,-1.6699
9.27079,1.7578,2.85833,-1.7578
9.29536,1.7578,2.8829,-1.7578
9.32215,1.6699,2.90969,-1.6699
9.34166,1.7578,2.9292,-1.7578
9.37278,1.7578,2.96032,-1.7578
9.39178,1.7578,2.97932,-1.7578
9.41996,1.7578,3.0075,-1.7578
9.44226,1.7578,3.0298,-1.7578
9.47575,1.7578,3.06329,-1.7578
9.50144,1.7578,3.08898,-1.7578
9.5272,1.7578,3.11474,-1.7578
9.55328,1.7578,3.14082,-1.7578
9.57859,1.7578,3.16613,-1.7578
9.60401,1.7578,3.19155,-1.7578
9.62761,1.7578,3.21515,-1.7578
9.65528,1.6699,3.24282,-1.6699
9.67464,1.7578,3.26218,-1.7578
9.70763,1.7578,3.29517,-1.7578
9.73358,1.7578,3.32112,-1.7578
9.75897,1.7578,3.34651,-1.7578
9.78446,1.7578,3.372,-1.7578
9.80841,1.7578,3.39595,-1.7578
9.83552,1.6699,3.42306,-1.6699
9.85868,1.7578,3.44622,-1.7578
9.8865,1.7578,3.47404,-1.7578
9.91075,1.7578,3.49829,-1.7578
9.93791,1.6699,3.52545,-1.6699
9.95937,1.7578,3.54691,-1.7578
9.98997,1.7578,3.57751,-1.7578
10.01602,1.7578,3.60356,-1.7578
10.04101,1.7578,3.62855,-1.7578
10.0662,1.7578,3.65374,-1.7578
10.09238,1.7578,3.67992,-1.7578
10.11817,1.7578,3.70571,-1.7578
10.14035,1.7578,3.72789,-1.7578
10.16943,1.7578,3.75697,-1.7578
10.19182,1.7578,3.77936,-1.7578
10.22076,1.7578,3.8083,-1.7578
10.24473,1.7578,3.83227,-1.7578
10.2725,1.7578,3.86004,-1.7578
10.29086,1.7578,3.8784,-1.7578
10.32293,1.7578,3.91047,-1.7578
10.34953,1.6699,3.93707,-1.6699
10.37482,1.7578,3.96236,-1.7578
10.40036,1.7578,3.9879,-1.7578
10.4248,1.7578,4.01234,-1.7578
10.452,1.7578,4.03954,-1.7578
10.47758,1.8457,4.06512,-1.8457
10.50361,1.7578,4.09115,-1.7578
10.52314,1.6699,4.11068,-1.6699
10.55243,1.7578,4.13997,-1.7578
10.57439,1.7578,4.16193,-1.7578
10.60583,1.7578,4.19337,-1.7578
10.63219,1.7578,4.21973,-1.7578
10.65742,1.7578,4.24496,-1.7578
10.68361,1.7578,4.27115,-1.7578
10.7071,1.7578,4.29464,-1.7578
10.73496,1.7578,4.3225,-1.7578
10.75859,1.7578,4.34613,-1.7578
10.78556,1.6699,4.3731,-1.6699
10.81207,1.7578,4.39961,-1.7578
10.83656,1.7578,4.4241,-1.7578
10.85854,1.7578,4.44608,-1.7578
10.8859,1.7578,4.47344,-1.7578
10.90798,1.7578,4.49552,-1.7578
10.93958,1.7578,4.52712,-1.7578
10.9656,1.7578,4.55314,-1.7578
