,,,Time,Angle
1.3104,-10.5469,,0,10.5469
1.33934,-7.998,,0.02894,7.998
1.36585,-3.5156,,0.05545,3.5156
1.39017,0.0879,,0.07977,-0.0879
1.4167,2.0215,,0.1063,-2.0215
1.44159,2.1094,,0.13119,-2.1094
1.4677,1.2305,,0.1573,-1.2305
1.49167,0.2637,,0.18127,-0.2637
1.51771,-0.1758,,0.20731,0.1758
1.53961,-0.2637,,0.22921,0.2637
1.57042,-0.1758,,0.26002,0.1758
1.59397,-0.0879,,0.28357,0.0879
1.62186,0,,0.31146,0
1.64789,0.0879,,0.33749,-0.0879
1.67354,0,,0.36314,0
1.69968,0,,0.38928,0
1.72342,0.0879,,0.41302,-0.0879
1.75119,0.0879,,0.44079,-0.0879
1.77596,0.0879,,0.46556,-0.0879
1.80112,0,,0.49072,0
1.8274,0,,0.517,0
1.85221,0,,0.54181,0
1.87899,0,,0.56859,0
1.90439,0,,0.59399,0
1.93004,0,,0.61964,0
1.95008,0,,0.63968,0
1.96903,0.0879,,0.65863,-0.0879
2.00706,0.0879,,0.69666,-0.0879
2.03309,0,,0.72269,0
2.05573,0.0879,,0.74533,-0.0879
2.08404,0,,0.77364,0
2.10862,-0.0879,,0.79822,0.0879
2.13595,-0.0879,,0.82555,0.0879
2.16147,0,,0.85107,0
2.18691,0.0879,,0.87651,-0.0879
2.20933,0,,0.89893,0
2.23829,0,,0.92789,0
2.26387,0,,0.95347,0
2.28738,0,,0.97698,0
2.31558,0.0879,,1.00518,-0.0879
2.34152,0.0879,,1.03112,-0.0879
2.3669,0,,1.0565,0
2.38501,-0.0879,,1.07461,0.0879
2.41808,0,,1.10768,0
2.44279,0.0879,,1.13239,-0.0879
2.46708,0,,1.15668,0
2.49552,0,,1.18512,0
2.52033,0,,1.20993,0
2.53858,0,,1.22818,0
2.56464,0,,1.25424,0
2.59709,0.0879,,1.28669,-0.0879
2.62058,0,,1.31018,0
2.64921,0,,1.33881,0
2.67309,0,,1.36269,0
2.70045,0,,1.39005,0
2.7232,0,,1.4128,0
2.74928,0.0879,,1.43888,-0.0879
2.77779,0.0879,,1.46739,-0.0879
2.7988,0.0879,,1.4884,-0.0879
2.82935,0.0879,,1.51895,-0.0879
2.85356,0.0879,,1.54316,-0.0879
2.87608,0,,1.56568,0
2.90533,-0.0879,,1.59493,0.0879
2.93262,-0.0879,,1.62222,0.0879
2.95606,0,,1.64566,0
2.98388,0.0879,,1.67348,-0.0879
3.00908,0.0879,,1.69868,-0.0879
3.03458,0.0879,,1.72418,-0.0879
3.05827,0,,1.74787,0
3.08541,0,,1.77501,0
3.10366,0,,1.79326,0
3.12846,0,,1.81806,0
3.16423,0,,1.85383,0
3.18729,0.0879,,1.87689,-0.0879
3.20805,0.0879,,1.89765,-0.0879
3.23987,0,,1.92947,0
3.26632,0,,1.95592,0
3.28746,0.0879,,1.97706,-0.0879
3.3169,0,,2.0065,0
3.34176,0.0879,,2.03136,-0.0879
3.3679,0.1758,,2.0575,-0.1758
3.38783,0,,2.07743,0
3.42055,0,,2.11015,0
3.43503,0.0879,,2.12463,-0.0879
3.4716,0.0879,,2.1612,-0.0879
3.49805,0,,2.18765,0
3.52259,0,,2.21219,0
3.54897,0.0879,,2.23857,-0.0879
3.57347,0.0879,,2.26307,-0.0879
3.60019,0,,2.28979,0
3.62343,0.0879,,2.31303,-0.0879
3.64985,0,,2.33945,0
3.67459,0,,2.36419,0
3.70331,0.0879,,2.39291,-0.0879
3.73003,0.0879,,2.41963,-0.0879
3.75439,0,,2.44399,0
3.78043,0,,2.47003,0
3.80317,0,,2.49277,0
3.83072,0,,2.52032,0
3.85385,0,,2.54345,0
3.88248,0.1758,,2.57208,-0.1758
3.90546,0.1758,,2.59506,-0.1758
3.9332,0,,2.6228,0
3.95949,0,,2.64909,0
3.98495,0,,2.67455,0
4.00345,0,,2.69305,0
4.03617,0.0879,,2.72577,-0.0879
4.05762,0.1758,,2.74722,-0.1758
4.08194,0.0879,,2.77154,-0.0879
4.11349,0,,2.80309,0
4.13593,0.0879,,2.82553,-0.0879
4.16475,0.0879,,2.85435,-0.0879
4.18784,0,,2.87744,0
4.21618,0.0879,,2.90578,-0.0879
4.2424,0.0879,,2.932,-0.0879
4.26589,0,,2.95549,0
4.29219,0.0879,,2.98179,-0.0879
4.31946,0.0879,,3.00906,-0.0879
4.34161,0,,3.03121,0
4.36662,0.0879,,3.05622,-0.0879
4.39648,0.0879,,3.08608,-0.0879
4.42039,0.0879,,3.10999,-0.0879
4.4472,0,,3.1368,0
4.47319,0.0879,,3.16279,-0.0879
4.49898,0.0879,,3.18858,-0.0879
4.52223,0.0879,,3.21183,-0.0879
4.55042,0.0879,,3.24002,-0.0879
4.57457,0.0879,,3.26417,-0.0879
4.60127,0,,3.29087,0
4.62223,0,,3.31183,0
