Time,Angle
0,19.7754
0.02368,17.2266
0.05259,9.1406
0.07636,-0.0879
0.10537,-5.0098
0.12712,-4.3066
0.15684,-1.1426
0.18322,1.3184
0.20844,2.1973
0.23416,1.8457
0.25831,0.9668
0.28558,0.1758
0.30845,-0.4395
0.33636,-0.6152
0.36117,-0.5273
0.38546,-0.2637
0.40977,-0.1758
0.43561,-0.2637
0.45856,-0.3516
0.49042,-0.3516
0.51615,-0.3516
0.54098,-0.3516
0.56836,-0.3516
0.58945,-0.3516
0.61933,-0.3516
0.64477,-0.3516
0.6703,-0.3516
0.68944,-0.3516
0.72166,-0.3516
0.74046,-0.3516
0.77275,-0.3516
0.79915,-0.3516
0.82319,-0.3516
0.85017,-0.3516
0.87476,-0.3516
0.90149,-0.3516
0.92428,-0.3516
0.95269,-0.3516
0.97496,-0.3516
1.00168,-0.3516
1.02494,-0.3516
1.05118,-0.3516
1.08227,-0.3516
1.10661,-0.3516
1.13318,-0.3516
1.15877,-0.3516
1.1843,-0.3516
1.20831,-0.3516
1.23542,-0.3516
1.25884,-0.3516
1.28623,-0.3516
1.30947,-0.3516
1.33714,-0.3516
1.36418,-0.3516
1.38922,-0.3516
1.41491,-0.3516
1.44108,-0.3516
1.46688,-0.3516
1.4927,-0.3516
1.51838,-0.3516
1.54025,-0.3516
1.56909,-0.3516
1.59087,-0.3516
1.621,-0.3516
1.64078,-0.3516
1.67173,-0.3516
1.69849,-0.3516
1.7234,-0.3516
1.74936,-0.3516
1.768,-0.3516
1.80072,-0.3516
1.82248,-0.3516
1.85204,-0.3516
1.8733,-0.3516
1.90207,-0.3516
1.9258,-0.3516
1.95461,-0.3516
1.98095,-0.3516
2.00552,-0.3516
2.03137,-0.3516
2.05703,-0.3516
2.08231,-0.3516
2.10599,-0.3516
2.13438,-0.3516
2.16086,-0.3516
2.18537,-0.3516
2.20642,-0.3516
2.23486,-0.3516
2.2611,-0.3516
2.28501,-0.3516
2.3147,-0.3516
2.34005,-0.3516
2.36535,-0.3516
2.39099,-0.3516
2.41684,-0.3516
