Time,Angle
0,10.1074
0.02685,9.3164
0.04513,6.7676
0.07915,2.9004
0.10363,-0.5273
0.1285,-2.9883
0.15667,-4.2188
0.18153,-4.1309
0.2081,-3.3398
0.2322,-2.5488
0.25848,-1.8457
0.28333,-1.2305
0.31045,-1.2305
0.33406,-1.2305
0.36134,-1.2305
0.38438,-1.2305
0.41241,-1.2305
0.43379,-1.2305
0.46226,-1.2305
0.48702,-1.2305
0.51652,-1.2305
0.54156,-1.2305
0.56613,-1.2305
0.59225,-1.2305
0.61811,-1.2305
0.64353,-1.2305
0.66815,-1.2305
0.69519,-1.2305
0.72118,-1.2305
0.74696,-1.2305
0.76987,-1.2305
0.79844,-1.2305
0.82468,-1.2305
0.84879,-1.2305
0.87535,-1.2305
0.89946,-1.2305
0.9265,-1.2305
0.9514,-1.2305
0.97679,-1.2305
1.00094,-1.2305
1.02929,-1.2305
1.05063,-1.2305
1.08014,-1.2305
1.10705,-1.2305
1.13175,-1.2305
1.15039,-1.2305
1.1829,-1.2305
1.20906,-1.2305
1.23328,-1.2305
1.26004,-1.2305
1.28296,-1.2305
1.31056,-1.2305
1.3343,-1.2305
1.3635,-1.2305
1.38527,-1.2305
1.41414,-1.2305
1.4406,-1.2305
1.46584,-1.2305
1.49162,-1.2305
1.51644,-1.2305
1.54245,-1.2305
1.56626,-1.2305
1.5938,-1.2305
1.61576,-1.2305
1.64525,-1.2305
1.66616,-1.2305
1.69729,-1.2305
1.72326,-1.2305
1.74833,-1.2305
1.77364,-1.2305
1.79996,-1.2305
1.82473,-1.2305
1.84959,-1.2305
1.8766,-1.2305
1.90024,-1.2305
1.92775,-1.2305
1.95397,-1.2305
1.97986,-1.2305
2.00644,-1.2305
2.03104,-1.2305
2.05624,-1.2305
2.07945,-1.2305
2.10776,-1.2305
2.13323,-1.2305
2.15905,-1.2305
2.1813,-1.2305
2.21038,-1.2305
2.23284,-1.2305
2.25905,-1.2305
2.28146,-1.2305
2.30952,-1.2305
2.3398,-1.2305
2.3624,-1.2305
2.39059,-1.2305
2.41537,-1.2305
2.44134,-1.2305
2.46719,-1.2305
2.49266,-1.2305
2.51669,-1.2305
2.54411,-1.2305
2.56378,-1.2305
2.59536,-1.2305
2.62241,-1.2305
2.64678,-1.2305
2.6722,-1.2305
2.69696,-1.2305
2.72441,-1.2305
2.7495,-1.2305
2.77493,-1.2305
2.80042,-1.2305
2.82671,-1.2305
2.85146,-1.2305
2.87678,-1.2305
2.90309,-1.2305
2.92953,-1.2305
2.95582,-1.2305
2.98085,-1.2305
3.00678,-1.2305
3.03172,-1.2305
3.05775,-1.2305
3.08265,-1.2305
3.10929,-1.2305
3.13185,-1.2305
3.16005,-1.2305
3.19751,-1.2305
3.21215,-1.2305
3.23787,-1.2305
3.26347,-1.2305
3.28942,-1.2305
3.31417,-1.2305
3.34047,-1.2305
3.36447,-1.2305
3.39152,-1.2305
3.41435,-1.2305
3.44204,-1.2305
3.46677,-1.2305
3.49478,-1.2305
3.51411,-1.2305
3.54544,-1.2305
3.57178,-1.2305
3.59693,-1.2305
3.62273,-1.2305
3.64754,-1.2305
3.67467,-1.2305
3.69629,-1.2305
3.7251,-1.2305
3.74467,-1.2305
3.77655,-1.2305
3.79718,-1.2305
3.82806,-1.2305
3.85501,-1.2305
3.8794,-1.2305
3.90601,-1.2305
3.93022,-1.2305
3.95694,-1.2305
3.98102,-1.2305
4.00817,-1.2305
4.02957,-1.2305
4.05934,-1.2305
4.08048,-1.2305
4.11071,-1.2305
4.13773,-1.2305
4.16283,-1.2305
