,,Time,Angle
5.53541,-20.3027,0,20.3027
5.56179,-19.3359,0.02638,19.3359
5.58838,-15.0293,0.05297,15.0293
5.61461,-5.7129,0.0792,5.7129
5.64062,3.1641,0.10521,-3.1641
5.66694,7.9102,0.13153,-7.9102
5.68636,7.207,0.15095,-7.207
5.71935,3.6035,0.18394,-3.6035
5.74465,0.2637,0.20924,-0.2637
5.76409,-1.6699,0.22868,1.6699
5.79586,-2.1094,0.26045,2.1094
5.81933,-1.4941,0.28392,1.4941
5.8472,-0.6152,0.31179,0.6152
5.87188,0.2637,0.33647,-0.2637
5.89893,1.1426,0.36352,-1.1426
5.92374,1.6699,0.38833,-1.6699
5.9497,1.9336,0.41429,-1.9336
5.97555,1.8457,0.44014,-1.8457
6.00073,1.6699,0.46532,-1.6699
6.028,1.4941,0.49259,-1.4941
6.05306,1.4941,0.51765,-1.4941
6.07853,1.4941,0.54312,-1.4941
6.10329,1.582,0.56788,-1.582
6.12993,1.4941,0.59452,-1.4941
6.15502,1.582,0.61961,-1.582
6.18161,1.4941,0.6462,-1.4941
6.20307,1.4941,0.66766,-1.4941
6.23259,1.582,0.69718,-1.582
6.25483,1.582,0.71942,-1.582
6.28398,1.582,0.74857,-1.582
6.31097,1.582,0.77556,-1.582
6.33566,1.4941,0.80025,-1.4941
6.36088,1.4941,0.82547,-1.4941
6.38615,1.4941,0.85074,-1.4941
6.41301,1.4941,0.8776,-1.4941
6.4379,1.4941,0.90249,-1.4941
6.46348,1.582,0.92807,-1.582
6.4881,1.582,0.95269,-1.582
6.5154,1.582,0.97999,-1.582
6.53723,1.582,1.00182,-1.582
6.56605,1.582,1.03064,-1.582
6.59208,1.582,1.05667,-1.582
6.61636,1.4941,1.08095,-1.4941
6.64358,1.582,1.10817,-1.582
6.66891,1.582,1.1335,-1.582
6.69569,1.582,1.16028,-1.582
6.72128,1.582,1.18587,-1.582
6.74581,1.582,1.2104,-1.582
6.7704,1.582,1.23499,-1.582
6.7974,1.4941,1.26199,-1.4941
6.81879,1.4941,1.28338,-1.4941
6.84809,1.582,1.31268,-1.582
6.87138,1.582,1.33597,-1.582
6.9009,1.582,1.36549,-1.582
6.92715,1.582,1.39174,-1.582
6.9522,1.582,1.41679,-1.582
6.9781,1.582,1.44269,-1.582
7.00393,1.582,1.46852,-1.582
7.02921,1.582,1.4938,-1.582
7.05307,1.582,1.51766,-1.582
7.08063,1.4941,1.54522,-1.4941
7.10531,1.4941,1.5699,-1.4941
7.13135,1.582,1.59594,-1.582
7.15377,1.582,1.61836,-1.582
7.18129,1.582,1.64588,-1.582
7.20988,1.582,1.67447,-1.582
7.23456,1.582,1.69915,-1.582
7.26125,1.4941,1.72584,-1.4941
7.28616,1.4941,1.75075,-1.4941
7.31119,1.582,1.77578,-1.582
7.33599,1.582,1.80058,-1.582
7.36312,1.582,1.82771,-1.582
7.38611,1.4941,1.8507,-1.4941
7.41317,1.582,1.87776,-1.582
7.43413,1.4941,1.89872,-1.4941
7.46609,1.582,1.93068,-1.582
7.48816,1.582,1.95275,-1.582
7.51749,1.582,1.98208,-1.582
7.53589,1.582,2.00048,-1.582
7.56824,1.582,2.03283,-1.582
7.59427,1.582,2.05886,-1.582
7.61822,1.582,2.08281,-1.582
7.64573,1.582,2.11032,-1.582
7.66966,1.582,2.13425,-1.582
7.69722,1.582,2.16181,-1.582
7.71821,1.4941,2.1828,-1.4941
7.74711,1.582,2.2117,-1.582
7.76898,1.4941,2.23357,-1.4941
7.80015,1.4941,2.26474,-1.4941
7.82619,1.4941,2.29078,-1.4941
7.85099,1.582,2.31558,-1.582
7.87736,1.4941,2.34195,-1.4941
7.90228,1.4941,2.36687,-1.4941
7.92796,1.582,2.39255,-1.582
7.95137,1.582,2.41596,-1.582
7.97885,1.4941,2.44344,-1.4941
8.00203,1.582,2.46662,-1.582
8.02962,1.4941,2.49421,-1.4941
8.04944,1.4941,2.51403,-1.4941
8.08188,1.582,2.54647,-1.582
8.10897,1.582,2.57356,-1.582
8.13341,1.4941,2.598,-1.4941
8.15868,1.582,2.62327,-1.582
8.18482,1.4941,2.64941,-1.4941
8.21066,1.4941,2.67525,-1.4941
8.23588,1.4941,2.70047,-1.4941
8.26208,1.4941,2.72667,-1.4941
8.28808,1.4941,2.75267,-1.4941
8.31377,1.582,2.77836,-1.582
8.33605,1.582,2.80064,-1.582
8.36396,1.582,2.82855,-1.582
8.38648,1.582,2.85107,-1.582
8.41598,1.582,2.88057,-1.582
8.43488,1.4941,2.89947,-1.4941
8.46767,1.4941,2.93226,-1.4941
8.49286,1.582,2.95745,-1.582
8.51842,1.582,2.98301,-1.582
8.54433,1.582,3.00892,-1.582
8.56856,1.4941,3.03315,-1.4941
8.5945,1.582,3.05909,-1.582
8.61681,1.582,3.0814,-1.582
8.64764,1.4941,3.11223,-1.4941
8.66939,1.4941,3.13398,-1.4941
8.69792,1.4941,3.16251,-1.4941
8.71738,1.582,3.18197,-1.582
8.75028,1.582,3.21487,-1.582
8.77537,1.582,3.23996,-1.582
8.8009,1.4941,3.26549,-1.4941
8.82647,1.4941,3.29106,-1.4941
8.85115,1.582,3.31574,-1.582
8.87831,1.582,3.3429,-1.582
8.89984,1.4941,3.36443,-1.4941
8.92939,1.582,3.39398,-1.582
8.95291,1.582,3.4175,-1.582
8.98027,1.4941,3.44486,-1.4941
9.00099,1.4941,3.46558,-1.4941
9.03223,1.582,3.49682,-1.582
9.05094,1.582,3.51553,-1.582
9.08295,1.4941,3.54754,-1.4941
9.10928,1.582,3.57387,-1.582
9.13406,1.582,3.59865,-1.582
9.16096,1.582,3.62555,-1.582
9.18473,1.4941,3.64932,-1.4941
9.21204,1.582,3.67663,-1.582
