Time,Angle
0,45.8789
0.0304,44.9121
0.05791,39.9023
0.08524,25.0488
0.11203,2.7246
0.13407,-13.623
0.16313,-14.4141
0.18955,-5.1855
0.21423,3.1641
0.24004,7.3828
0.26531,6.9434
0.29097,3.9551
0.3141,0.4395
0.34307,-2.2852
0.36642,-3.6035
0.39311,-3.6035
0.41849,-2.9004
0.44571,-1.8457
0.46374,-1.0547
0.49675,-0.7031
0.52312,-0.7031
0.54763,-0.791
0.57388,-1.0547
0.59963,-1.2305
0.62541,-1.1426
0.64838,-1.1426
0.67701,-1.1426
0.69839,-1.1426
0.7281,-1.1426
0.74775,-1.1426
0.7789,-1.1426
0.80624,-1.1426
0.8303,-1.1426
0.85603,-1.1426
0.8805,-1.1426
0.90788,-1.1426
0.93326,-1.1426
0.95931,-1.1426
0.98097,-1.1426
1.00828,-1.1426
1.03049,-1.1426
1.06173,-1.1426
1.08046,-1.1426
1.11329,-1.1426
1.13917,-1.1426
1.16453,-1.1426
1.1902,-1.1426
1.21462,-1.1426
1.24208,-1.1426
1.26702,-1.1426
1.29398,-1.1426
1.31481,-1.1426
1.34429,-1.1426
1.36291,-1.1426
1.39573,-1.1426
1.42227,-1.1426
1.44711,-1.1426
1.4732,-1.1426
1.49788,-1.1426
1.52412,-1.1426
1.54908,-1.1426
1.57534,-1.1426
1.60021,-1.1426
1.62645,-1.1426
1.64671,-1.1426
1.67744,-1.1426
1.70509,-1.1426
1.72828,-1.1426
1.75517,-1.1426
1.77959,-1.1426
1.80714,-1.1426
1.83126,-1.1426
1.85772,-1.1426
1.88195,-1.1426
1.90888,-1.1426
1.93047,-1.1426
1.95756,-1.1426
1.98246,-1.1426
2.01216,-1.1426
2.03776,-1.1426
2.06326,-1.1426
2.08918,-1.1426
2.11549,-1.1426
2.14042,-1.1426
2.1646,-1.1426
2.19142,-1.1426
2.21456,-1.1426
2.24305,-1.1426
2.26574,-1.1426
2.29465,-1.1426
2.32142,-1.1426
2.34595,-1.1426
2.37233,-1.1426
2.39799,-1.1426
2.42368,-1.1426
2.44726,-1.1426
2.47435,-1.1426
2.49739,-1.1426
2.52562,-1.1426
2.54782,-1.1426
2.57564,-1.1426
2.59559,-1.1426
2.62938,-1.1426
2.65437,-1.1426
2.6802,-1.1426
2.70548,-1.1426
2.72988,-1.1426
2.75749,-1.1426
2.77854,-1.1426
2.80747,-1.1426
2.83363,-1.1426
2.86014,-1.1426
2.88419,-1.1426
2.91139,-1.1426
2.93748,-1.1426
2.96224,-1.1426
2.98842,-1.1426
3.01394,-1.1426
