Time,Angle
0,45
0.02987,43.3301
0.05602,38.3203
0.08319,26.8066
0.10664,8.7891
0.13521,-6.2402
0.16123,-8.7891
0.18678,-2.2852
0.2129,3.3398
0.238,5.3613
0.2633,4.5703
0.28853,2.373
0.31528,0.0879
0.33637,-1.2305
0.36663,-1.3184
0.38902,-0.791
0.41788,-0.2637
0.43992,0.0879
0.46938,0.0879
0.49599,-0.1758
0.52057,-0.1758
0.54631,-0.1758
0.57238,-0.1758
0.5976,-0.1758
0.6223,-0.1758
0.64949,-0.1758
0.67272,-0.1758
0.69855,-0.1758
0.71907,-0.1758
0.75213,-0.1758
0.77812,-0.1758
0.80311,-0.1758
0.82951,-0.1758
0.85401,-0.1758
0.88011,-0.1758
0.90444,-0.1758
0.93093,-0.1758
0.95726,-0.1758
0.9819,-0.1758
1.00501,-0.1758
1.03124,-0.1758
1.05339,-0.1758
1.08612,-0.1758
1.11216,-0.1758
1.13723,-0.1758
1.16247,-0.1758
1.18757,-0.1758
1.21368,-0.1758
1.23873,-0.1758
1.26519,-0.1758
1.28988,-0.1758
1.31539,-0.1758
1.34102,-0.1758
1.36431,-0.1758
1.3953,-0.1758
1.42,-0.1758
1.44534,-0.1758
1.47124,-0.1758
1.49652,-0.1758
1.52108,-0.1758
1.54797,-0.1758
1.57186,-0.1758
1.59952,-0.1758
1.62006,-0.1758
1.65057,-0.1758
1.67108,-0.1758
1.70173,-0.1758
1.72884,-0.1758
1.75406,-0.1758
1.77828,-0.1758
1.80312,-0.1758
1.83068,-0.1758
1.85135,-0.1758
1.88099,-0.1758
1.90234,-0.1758
1.93269,-0.1758
1.95754,-0.1758
1.98439,-0.1758
2.00985,-0.1758
2.03494,-0.1758
2.06106,-0.1758
2.08665,-0.1758
2.11351,-0.1758
2.13791,-0.1758
2.16473,-0.1758
2.19046,-0.1758
2.2149,-0.1758
2.23904,-0.1758
2.26433,-0.1758
2.28971,-0.1758
2.31818,-0.1758
2.34397,-0.1758
2.36961,-0.1758
2.39513,-0.1758
2.41999,-0.1758
2.44713,-0.1758
2.46956,-0.1758
2.49788,-0.1758
2.52004,-0.1758
2.54858,-0.1758
2.56818,-0.1758
2.60093,-0.1758
2.62782,-0.1758
2.65309,-0.1758
2.67777,-0.1758
2.70331,-0.1758
2.72997,-0.1758
2.75418,-0.1758
2.78085,-0.1758
2.80277,-0.1758
2.83159,-0.1758
2.85258,-0.1758
2.88314,-0.1758
2.90274,-0.1758
2.93434,-0.1758
2.96058,-0.1758
