Time,Angle
0,30.2344
0.0277,28.0371
0.05412,21.8848
0.0811,11.7773
0.1088,0.2637
0.12766,-7.6465
0.15966,-10.1074
0.183,-7.5586
0.21144,-3.4277
0.23398,0.1758
0.26236,2.2852
0.28476,2.9883
0.31371,2.5488
0.33489,1.582
0.365,0.5273
0.39206,-0.5273
0.41795,-1.4941
0.44197,-2.1094
0.46857,-2.2852
0.49382,-2.1973
0.51821,-2.0215
0.5447,-1.7578
0.57009,-1.7578
0.59566,-1.7578
0.61744,-1.7578
0.64574,-1.7578
0.66792,-1.7578
0.69975,-1.7578
0.72492,-1.7578
0.75069,-1.7578
0.77677,-1.7578
0.79516,-1.7578
0.82773,-1.7578
0.85163,-1.7578
0.87969,-1.7578
0.90304,-1.7578
0.92896,-1.7578
0.9577,-1.7578
0.98148,-1.7578
1.00815,-1.7578
1.0342,-1.7578
1.059,-1.7578
1.08435,-1.7578
1.11004,-1.7578
1.1337,-1.7578
1.16177,-1.7578
1.18202,-1.7578
1.21271,-1.7578
1.2366,-1.7578
1.26513,-1.7578
1.29081,-1.7578
1.31617,-1.7578
1.33309,-1.7578
1.36738,-1.7578
1.393,-1.7578
1.41734,-1.7578
1.44352,-1.7578
1.46728,-1.7578
1.49569,-1.7578
1.51968,-1.7578
1.54509,-1.7578
1.57371,-1.7578
1.59843,-1.7578
1.62428,-1.7578
1.64449,-1.7578
1.67609,-1.7578
1.69924,-1.7578
1.72641,-1.7578
1.75084,-1.7578
1.77795,-1.7578
1.8025,-1.7578
1.82967,-1.7578
1.84883,-1.7578
1.8805,-1.7578
1.90732,-1.7578
1.93231,-1.7578
1.95812,-1.7578
1.98273,-1.7578
2.00916,-1.7578
2.03344,-1.7578
2.05956,-1.7578
2.08612,-1.7578
2.11019,-1.7578
2.13775,-1.7578
2.16332,-1.7578
2.18139,-1.7578
2.21478,-1.7578
2.24074,-1.7578
2.26489,-1.7578
2.29234,-1.7578
2.31623,-1.7578
2.34289,-1.7578
2.36705,-1.7578
2.39418,-1.7578
2.41479,-1.7578
2.44389,-1.7578
2.47302,-1.7578
2.49782,-1.7578
2.52339,-1.7578
2.54871,-1.7578
2.5743,-1.7578
2.59926,-1.7578
2.62525,-1.7578
2.64987,-1.7578
2.6772,-1.7578
2.6996,-1.7578
2.72895,-1.7578
2.74943,-1.7578
2.77919,-1.7578
2.80621,-1.7578
2.8317,-1.7578
2.85733,-1.7578
2.88103,-1.7578
2.90829,-1.7578
2.93274,-1.7578
2.95969,-1.7578
2.98484,-1.7578
3.00996,-1.7578
3.03132,-1.7578
3.06213,-1.7578
3.08475,-1.7578
3.11396,-1.7578
3.14042,-1.7578
3.16493,-1.7578
3.1904,-1.7578
3.21516,-1.7578
3.24233,-1.7578
3.26801,-1.7578
3.29337,-1.7578
3.31609,-1.7578
3.34378,-1.7578
3.36363,-1.7578
3.3918,-1.7578
3.41487,-1.7578
3.44698,-1.7578
3.47298,-1.7578
3.4984,-1.7578
3.52464,-1.7578
3.5473,-1.7578
3.57584,-1.7578
3.5985,-1.7578
3.62706,-1.7578
3.64876,-1.7578
3.67827,-1.7578
3.7051,-1.7578
3.72593,-1.7578
3.756,-1.7578
3.78023,-1.7578
3.80695,-1.7578
3.83295,-1.7578
3.85832,-1.7578
3.88359,-1.7578
3.90934,-1.7578
3.93051,-1.7578
3.96098,-1.7578
3.97955,-1.7578
4.01258,-1.7578
4.03841,-1.7578
