,,Time,Angle
8.28167,-20.127,0,20.127
8.30839,-18.457,0.02672,18.457
8.33333,-12.9199,0.05166,12.9199
8.36294,-4.5703,0.08127,4.5703
8.38877,2.6367,0.1071,-2.6367
8.41377,7.7344,0.1321,-7.7344
8.43993,9.8438,0.15826,-9.8438
8.4639,8.9648,0.18223,-8.9648
8.49163,6.5039,0.20996,-6.5039
8.51366,3.7793,0.23199,-3.7793
8.54305,1.582,0.26138,-1.582
8.56502,0.2637,0.28335,-0.2637
8.5938,-0.2637,0.31213,0.2637
8.62037,-0.0879,0.3387,0.0879
8.64526,0.3516,0.36359,-0.3516
8.67054,0.8789,0.38887,-0.8789
8.69421,1.1426,0.41254,-1.1426
8.7221,1.3184,0.44043,-1.3184
8.74738,1.4062,0.46571,-1.4062
8.77359,1.4941,0.49192,-1.4941
8.798,1.4941,0.51633,-1.4941
8.8238,1.4941,0.54213,-1.4941
8.84791,1.4941,0.56624,-1.4941
8.87603,1.4941,0.59436,-1.4941
8.89969,1.4941,0.61802,-1.4941
8.92785,1.582,0.64618,-1.582
8.95369,1.582,0.67202,-1.582
8.97949,1.582,0.69782,-1.582
9.0047,1.582,0.72303,-1.582
9.031,1.582,0.74933,-1.582
9.05606,1.582,0.77439,-1.582
9.08215,1.582,0.80048,-1.582
9.10776,1.582,0.82609,-1.582
9.12886,1.582,0.84719,-1.582
9.15915,1.582,0.87748,-1.582
9.17847,1.582,0.8968,-1.582
9.21075,1.582,0.92908,-1.582
9.23627,1.582,0.9546,-1.582
9.26088,1.582,0.97921,-1.582
9.28748,1.582,1.00581,-1.582
9.3093,1.582,1.02763,-1.582
9.33881,1.6699,1.05714,-1.6699
9.36381,1.6699,1.08214,-1.6699
9.3889,1.6699,1.10723,-1.6699
9.41287,1.6699,1.1312,-1.6699
9.43925,1.6699,1.15758,-1.6699
9.46123,1.6699,1.17956,-1.6699
9.49266,1.6699,1.21099,-1.6699
9.51663,1.6699,1.23496,-1.6699
9.54275,1.6699,1.26108,-1.6699
9.56956,1.6699,1.28789,-1.6699
9.59449,1.6699,1.31282,-1.6699
9.62146,1.7578,1.33979,-1.7578
9.64604,1.7578,1.36437,-1.7578
9.67296,1.7578,1.39129,-1.7578
9.69665,1.7578,1.41498,-1.7578
9.72421,1.7578,1.44254,-1.7578
9.74412,1.7578,1.46245,-1.7578
9.77574,1.7578,1.49407,-1.7578
9.79762,1.7578,1.51595,-1.7578
9.82671,1.7578,1.54504,-1.7578
9.8522,1.7578,1.57053,-1.7578
9.87829,1.7578,1.59662,-1.7578
9.9036,1.7578,1.62193,-1.7578
9.92595,1.7578,1.64428,-1.7578
9.95477,1.8457,1.6731,-1.8457
9.97794,1.7578,1.69627,-1.7578
10.00575,1.7578,1.72408,-1.7578
10.02815,1.8457,1.74648,-1.8457
10.05746,1.8457,1.77579,-1.8457
10.07967,1.8457,1.798,-1.8457
10.10971,1.8457,1.82804,-1.8457
10.13606,1.8457,1.85439,-1.8457
10.16058,1.8457,1.87891,-1.8457
10.18693,1.8457,1.90526,-1.8457
10.21023,1.8457,1.92856,-1.8457
10.23775,1.8457,1.95608,-1.8457
10.26078,1.8457,1.97911,-1.8457
10.28871,1.8457,2.00704,-1.8457
10.31142,1.8457,2.02975,-1.8457
10.3387,1.8457,2.05703,-1.8457
10.36005,1.9336,2.07838,-1.9336
10.39174,1.8457,2.11007,-1.8457
10.41021,1.8457,2.12854,-1.8457
10.43748,1.8457,2.15581,-1.8457
10.46911,1.9336,2.18744,-1.9336
10.49507,1.8457,2.2134,-1.8457
10.52067,1.8457,2.239,-1.8457
10.54445,1.9336,2.26278,-1.9336
10.57107,1.9336,2.2894,-1.9336
10.59625,1.9336,2.31458,-1.9336
10.6233,1.9336,2.34163,-1.9336
10.64319,1.9336,2.36152,-1.9336
10.67477,1.8457,2.3931,-1.8457
10.69596,1.9336,2.41429,-1.9336
10.72537,1.9336,2.4437,-1.9336
10.75204,1.8457,2.47037,-1.8457
10.77704,1.9336,2.49537,-1.9336
10.80299,1.9336,2.52132,-1.9336
10.82695,1.9336,2.54528,-1.9336
10.85378,1.9336,2.57211,-1.9336
10.87897,1.9336,2.5973,-1.9336
10.90505,1.9336,2.62338,-1.9336
10.92967,1.9336,2.648,-1.9336
10.9552,1.9336,2.67353,-1.9336
10.97876,1.9336,2.69709,-1.9336
11.00804,1.9336,2.72637,-1.9336
11.03504,1.9336,2.75337,-1.9336
11.05949,1.9336,2.77782,-1.9336
