Time,Angle
0,20.3027
0.02638,19.3359
0.05297,15.0293
0.0792,5.7129
0.10521,-3.1641
0.13153,-7.9102
0.15095,-7.207
0.18394,-3.6035
0.20924,-0.2637
0.22868,1.6699
0.26045,2.1094
0.28392,1.4941
0.31179,0.6152
0.33647,-0.2637
0.36352,-1.1426
0.38833,-1.6699
0.41429,-1.9336
0.44014,-1.8457
0.46532,-1.6699
0.49259,-1.4941
0.51765,-1.4941
0.54312,-1.4941
0.56788,-1.4941
0.59452,-1.4941
0.61961,-1.4941
0.6462,-1.4941
0.66766,-1.4941
0.69718,-1.4941
0.71942,-1.4941
0.74857,-1.4941
0.77556,-1.4941
0.80025,-1.4941
0.82547,-1.4941
0.85074,-1.4941
0.8776,-1.4941
0.90249,-1.4941
0.92807,-1.4941
0.95269,-1.4941
0.97999,-1.4941
1.00182,-1.4941
1.03064,-1.4941
1.05667,-1.4941
1.08095,-1.4941
1.10817,-1.4941
1.1335,-1.4941
1.16028,-1.4941
1.18587,-1.4941
1.2104,-1.4941
1.23499,-1.4941
1.26199,-1.4941
1.28338,-1.4941
1.31268,-1.4941
1.33597,-1.4941
1.36549,-1.4941
1.39174,-1.4941
1.41679,-1.4941
1.44269,-1.4941
1.46852,-1.4941
1.4938,-1.4941
1.51766,-1.4941
1.54522,-1.4941
1.5699,-1.4941
1.59594,-1.4941
1.61836,-1.4941
1.64588,-1.4941
1.67447,-1.4941
1.69915,-1.4941
1.72584,-1.4941
1.75075,-1.4941
1.77578,-1.4941
1.80058,-1.4941
1.82771,-1.4941
1.8507,-1.4941
1.87776,-1.4941
1.89872,-1.4941
1.93068,-1.4941
1.95275,-1.4941
1.98208,-1.4941
2.00048,-1.4941
2.03283,-1.4941
2.05886,-1.4941
2.08281,-1.4941
2.11032,-1.4941
2.13425,-1.4941
2.16181,-1.4941
2.1828,-1.4941
2.2117,-1.4941
2.23357,-1.4941
2.26474,-1.4941
2.29078,-1.4941
2.31558,-1.4941
2.34195,-1.4941
2.36687,-1.4941
2.39255,-1.4941
2.41596,-1.4941
2.44344,-1.4941
2.46662,-1.4941
2.49421,-1.4941
2.51403,-1.4941
2.54647,-1.4941
2.57356,-1.4941
2.598,-1.4941
2.62327,-1.4941
2.64941,-1.4941
2.67525,-1.4941
2.70047,-1.4941
2.72667,-1.4941
2.75267,-1.4941
2.77836,-1.4941
2.80064,-1.4941
2.82855,-1.4941
2.85107,-1.4941
2.88057,-1.4941
2.89947,-1.4941
2.93226,-1.4941
2.95745,-1.4941
2.98301,-1.4941
3.00892,-1.4941
3.03315,-1.4941
3.05909,-1.4941
3.0814,-1.4941
3.11223,-1.4941
3.13398,-1.4941
3.16251,-1.4941
3.18197,-1.4941
3.21487,-1.4941
3.23996,-1.4941
3.26549,-1.4941
3.29106,-1.4941
3.31574,-1.4941
3.3429,-1.4941
3.36443,-1.4941
3.39398,-1.4941
3.4175,-1.4941
3.44486,-1.4941
3.46558,-1.4941
3.49682,-1.4941
3.51553,-1.4941
3.54754,-1.4941
3.57387,-1.4941
3.59865,-1.4941
3.62555,-1.4941
3.64932,-1.4941
3.67663,-1.4941
