,,,Time,Angle
15.16928,1.8457,,3.72593,-1.8457
15.19935,1.8457,,3.756,-1.8457
15.22358,1.8457,,3.78023,-1.8457
15.2503,1.8457,,3.80695,-1.8457
15.2763,1.8457,,3.83295,-1.8457
15.30167,1.8457,,3.85832,-1.8457
15.32694,1.8457,,3.88359,-1.8457
15.35269,1.7578,,3.90934,-1.7578
15.37386,1.7578,,3.93051,-1.7578
15.40433,1.7578,,3.96098,-1.7578
15.4229,1.7578,,3.97955,-1.7578
15.45593,1.7578,,4.01258,-1.7578
15.48176,1.7578,,4.03841,-1.7578
