Time,Angle
0,29.8828
0.02689,29.0918
0.05345,24.6094
0.07989,13.0078
0.10399,-1.7578
0.13333,-10.3711
0.159,-9.7559
0.18421,-4.2188
0.21007,0.8789
0.23425,3.7793
0.26114,4.2188
0.28698,3.0762
0.31279,1.3184
0.33811,-0.4395
0.36387,-1.8457
0.38469,-2.4609
0.41543,-2.4609
0.4355,-2.1094
0.46519,-1.6699
0.49299,-1.4062
0.51662,-1.3184
0.54406,-1.3184
0.56708,-1.4062
0.59493,-1.4062
0.61923,-1.4062
0.64657,-1.4062
0.66783,-1.4062
0.69737,-1.4062
0.72382,-1.4062
0.74955,-1.4062
0.77493,-1.4062
0.801,-1.4062
0.82665,-1.4062
0.85128,-1.4062
0.87834,-1.4062
0.89984,-1.4062
0.92783,-1.4062
0.95298,-1.4062
0.98049,-1.4062
1.00174,-1.4062
1.03223,-1.4062
1.05823,-1.4062
1.08366,-1.4062
1.10887,-1.4062
1.13334,-1.4062
1.16,-1.4062
1.1808,-1.4062
1.21176,-1.4062
1.23355,-1.4062
1.26349,-1.4062
1.28156,-1.4062
1.31442,-1.4062
1.34139,-1.4062
1.36582,-1.4062
1.39122,-1.4062
1.41675,-1.4062
1.44327,-1.4062
1.46726,-1.4062
1.49402,-1.4062
1.51793,-1.4062
1.54566,-1.4062
1.56757,-1.4062
1.59706,-1.4062
1.61743,-1.4062
1.64772,-1.4062
1.67441,-1.4062
1.69913,-1.4062
1.72531,-1.4062
1.74902,-1.4062
1.77724,-1.4062
1.80149,-1.4062
1.82867,-1.4062
1.85397,-1.4062
1.87766,-1.4062
1.9031,-1.4062
1.93124,-1.4062
1.95725,-1.4062
1.98164,-1.4062
2.00822,-1.4062
2.0329,-1.4062
2.05936,-1.4062
2.0857,-1.4062
2.10981,-1.4062
2.13498,-1.4062
2.16176,-1.4062
2.18398,-1.4062
2.2133,-1.4062
2.23199,-1.4062
2.26443,-1.4062
2.29142,-1.4062
2.31473,-1.4062
2.3413,-1.4062
2.367,-1.4062
2.39342,-1.4062
2.41657,-1.4062
2.44386,-1.4062
2.46733,-1.4062
2.4945,-1.4062
2.51964,-1.4062
2.54746,-1.4062
2.57274,-1.4062
2.59865,-1.4062
2.62456,-1.4062
2.64877,-1.4062
2.67596,-1.4062
2.7007,-1.4062
2.72651,-1.4062
2.74815,-1.4062
2.77817,-1.4062
2.80081,-1.4062
2.82946,-1.4062
2.85659,-1.4062
2.88164,-1.4062
2.90688,-1.4062
2.93228,-1.4062
2.95837,-1.4062
2.98064,-1.4062
3.00946,-1.4062
3.03176,-1.4062
3.06025,-1.4062
3.08315,-1.4062
3.11247,-1.4062
3.13137,-1.4062
3.16342,-1.4062
3.1893,-1.4062
3.2141,-1.4062
3.24045,-1.4062
3.26569,-1.4062
3.29145,-1.4062
3.31332,-1.4062
3.34186,-1.4062
3.36479,-1.4062
3.39445,-1.4062
3.41671,-1.4062
3.4463,-1.4062
3.47217,-1.4062
3.4981,-1.4062
3.52342,-1.4062
3.54597,-1.4062
3.57444,-1.4062
3.59903,-1.4062
3.62534,-1.4062
3.65084,-1.4062
3.67736,-1.4062
3.69746,-1.4062
3.72863,-1.4062
3.75576,-1.4062
3.78042,-1.4062
3.80564,-1.4062
3.83213,-1.4062
