Time,Angle
0,45.791
0.01939,44.8242
0.05372,38.7598
0.08106,24.6973
0.10618,5.5371
0.13348,-10.1074
0.15887,-15.7324
0.18541,-11.1621
0.21129,-3.252
0.23615,3.1641
0.26288,6.6797
0.28668,6.8555
0.31235,4.7461
0.33673,2.0215
0.36469,-0.4395
0.38741,-2.373
0.41684,-3.4277
0.43623,-3.5156
0.46528,-3.0762
0.49405,-2.373
0.51892,-1.8457
0.54518,-1.4941
0.57051,-1.4062
0.59602,-1.4941
0.6206,-1.582
0.64663,-1.582
0.66993,-1.582
0.69689,-1.582
0.71729,-1.582
0.75024,-1.582
0.77312,-1.582
0.8008,-1.582
0.82705,-1.582
0.85236,-1.582
0.87927,-1.582
0.90456,-1.582
0.93001,-1.582
0.95494,-1.582
0.98132,-1.582
1.00584,-1.582
1.03263,-1.582
1.05981,-1.582
1.08388,-1.582
1.11005,-1.582
1.13526,-1.582
1.16106,-1.582
1.18089,-1.582
1.21233,-1.582
1.2364,-1.582
1.26427,-1.582
1.28506,-1.582
1.31599,-1.582
1.3365,-1.582
1.36362,-1.582
1.39346,-1.582
1.41819,-1.582
1.44322,-1.582
1.46971,-1.582
1.49532,-1.582
1.52043,-1.582
1.54693,-1.582
1.56964,-1.582
1.59802,-1.582
1.62282,-1.582
1.64742,-1.582
1.67594,-1.582
1.70065,-1.582
1.72731,-1.582
1.75269,-1.582
1.77835,-1.582
1.80235,-1.582
1.82911,-1.582
1.85041,-1.582
1.87995,-1.582
1.90717,-1.582
1.93039,-1.582
1.95906,-1.582
1.98342,-1.582
2.00744,-1.582
2.03548,-1.582
2.06045,-1.582
2.07984,-1.582
2.11159,-1.582
2.13544,-1.582
2.16378,-1.582
2.18674,-1.582
2.21464,-1.582
2.23609,-1.582
2.26526,-1.582
2.28514,-1.582
2.31772,-1.582
2.34352,-1.582
2.36899,-1.582
2.39422,-1.582
2.41716,-1.582
2.4459,-1.582
2.46537,-1.582
2.4968,-1.582
2.51725,-1.582
2.54813,-1.582
2.56992,-1.582
2.59998,-1.582
2.62541,-1.582
2.6505,-1.582
2.67724,-1.582
2.70143,-1.582
2.72808,-1.582
2.75265,-1.582
2.77834,-1.582
2.80044,-1.582
2.83068,-1.582
2.84979,-1.582
2.8827,-1.582
2.90792,-1.582
2.93321,-1.582
2.95941,-1.582
2.98491,-1.582
3.01048,-1.582
3.0325,-1.582
3.06236,-1.582
3.08448,-1.582
3.11274,-1.582
3.13259,-1.582
3.16228,-1.582
3.19162,-1.582
3.21173,-1.582
3.23436,-1.582
3.26698,-1.582
3.29346,-1.582
3.31216,-1.582
3.34468,-1.582
3.36612,-1.582
3.39595,-1.582
3.41797,-1.582
3.44531,-1.582
3.46885,-1.582
3.49912,-1.582
3.52484,-1.582
3.55015,-1.582
3.57606,-1.582
3.60042,-1.582
3.62671,-1.582
3.64696,-1.582
3.67737,-1.582
3.69955,-1.582
3.72998,-1.582
3.75067,-1.582
3.78074,-1.582
3.80717,-1.582
3.83266,-1.582
3.85837,-1.582
3.88334,-1.582
3.90929,-1.582
3.93338,-1.582
3.96095,-1.582
3.98193,-1.582
4.01113,-1.582
4.03786,-1.582
