Time,Angle
0,30.2344
0.01841,27.9492
0.05152,21.1816
0.08143,7.0312
0.10593,-5.0098
0.13134,-7.6465
0.15181,-2.6367
0.18321,2.1973
0.20552,4.2188
0.23411,3.8672
0.25756,2.2852
0.28542,0.4395
0.30756,-0.791
0.33529,-1.0547
0.36414,-0.791
0.38858,-0.3516
0.41452,-0.0879
0.43503,-0.0879
0.4653,-0.2637
0.49169,-0.3516
0.51753,-0.2637
0.54086,-0.1758
0.56883,-0.1758
0.59191,-0.1758
0.61981,-0.1758
0.6391,-0.1758
0.66947,-0.1758
0.69731,-0.1758
0.72268,-0.1758
0.74838,-0.1758
0.77303,-0.1758
0.79855,-0.1758
0.82308,-0.1758
0.85021,-0.1758
0.87527,-0.1758
0.90075,-0.1758
0.92285,-0.1758
0.95315,-0.1758
0.97996,-0.1758
1.00539,-0.1758
1.03045,-0.1758
1.05629,-0.1758
1.08242,-0.1758
1.10592,-0.1758
1.13287,-0.1758
1.15647,-0.1758
1.18435,-0.1758
1.20547,-0.1758
1.23596,-0.1758
1.26305,-0.1758
1.28735,-0.1758
1.31355,-0.1758
1.3391,-0.1758
1.36453,-0.1758
1.38797,-0.1758
1.41594,-0.1758
1.44053,-0.1758
1.46718,-0.1758
1.48854,-0.1758
1.51656,-0.1758
1.53705,-0.1758
1.5703,-0.1758
1.59659,-0.1758
1.62131,-0.1758
1.64718,-0.1758
1.67168,-0.1758
1.69806,-0.1758
1.72387,-0.1758
1.74942,-0.1758
1.77107,-0.1758
1.79935,-0.1758
1.82304,-0.1758
1.85365,-0.1758
1.8791,-0.1758
1.9044,-0.1758
1.92146,-0.1758
1.95572,-0.1758
1.98082,-0.1758
2.00629,-0.1758
2.03614,-0.1758
2.05533,-0.1758
2.08292,-0.1758
2.10433,-0.1758
2.13408,-0.1758
2.15369,-0.1758
2.18613,-0.1758
2.21271,-0.1758
2.23856,-0.1758
2.26285,-0.1758
2.28814,-0.1758
2.31458,-0.1758
2.34079,-0.1758
2.36566,-0.1758
2.39109,-0.1758
2.41668,-0.1758
2.44159,-0.1758
2.46946,-0.1758
2.49535,-0.1758
2.51975,-0.1758
2.54566,-0.1758
2.57169,-0.1758
2.5975,-0.1758
2.62323,-0.1758
2.64869,-0.1758
2.67291,-0.1758
2.70018,-0.1758
2.72535,-0.1758
