,,Time,Angle
9.15994,-45.8789,0,45.8789
9.19034,-44.9121,0.0304,44.9121
9.21785,-39.9023,0.05791,39.9023
9.24518,-25.0488,0.08524,25.0488
9.27197,-2.7246,0.11203,2.7246
9.29401,13.623,0.13407,-13.623
9.32307,14.4141,0.16313,-14.4141
9.34949,5.1855,0.18955,-5.1855
9.37417,-3.1641,0.21423,3.1641
9.39998,-7.3828,0.24004,7.3828
9.42525,-6.9434,0.26531,6.9434
9.45091,-3.9551,0.29097,3.9551
9.47404,-0.4395,0.3141,0.4395
9.50301,2.2852,0.34307,-2.2852
9.52636,3.6035,0.36642,-3.6035
9.55305,3.6035,0.39311,-3.6035
9.57843,2.9004,0.41849,-2.9004
9.60565,1.8457,0.44571,-1.8457
9.62368,1.0547,0.46374,-1.0547
9.65669,0.7031,0.49675,-0.7031
9.68306,0.7031,0.52312,-0.7031
9.70757,0.791,0.54763,-0.791
9.73382,1.0547,0.57388,-1.0547
9.75957,1.2305,0.59963,-1.2305
9.78535,1.1426,0.62541,-1.1426
9.80832,1.0547,0.64838,-1.0547
9.83695,1.1426,0.67701,-1.1426
9.85833,1.0547,0.69839,-1.0547
9.88804,1.0547,0.7281,-1.0547
9.90769,1.1426,0.74775,-1.1426
9.93884,1.1426,0.7789,-1.1426
9.96618,1.0547,0.80624,-1.0547
9.99024,1.0547,0.8303,-1.0547
10.01597,1.1426,0.85603,-1.1426
10.04044,1.1426,0.8805,-1.1426
10.06782,1.1426,0.90788,-1.1426
10.0932,1.1426,0.93326,-1.1426
10.11925,1.1426,0.95931,-1.1426
10.14091,1.0547,0.98097,-1.0547
10.16822,1.1426,1.00828,-1.1426
10.19043,1.1426,1.03049,-1.1426
10.22167,1.1426,1.06173,-1.1426
10.2404,1.1426,1.08046,-1.1426
10.27323,1.1426,1.11329,-1.1426
10.29911,1.1426,1.13917,-1.1426
10.32447,1.1426,1.16453,-1.1426
10.35014,1.1426,1.1902,-1.1426
10.37456,1.1426,1.21462,-1.1426
10.40202,1.1426,1.24208,-1.1426
10.42696,1.1426,1.26702,-1.1426
10.45392,1.1426,1.29398,-1.1426
10.47475,1.1426,1.31481,-1.1426
10.50423,1.1426,1.34429,-1.1426
10.52285,1.1426,1.36291,-1.1426
10.55567,1.1426,1.39573,-1.1426
10.58221,1.1426,1.42227,-1.1426
10.60705,1.1426,1.44711,-1.1426
10.63314,1.1426,1.4732,-1.1426
10.65782,1.1426,1.49788,-1.1426
10.68406,1.1426,1.52412,-1.1426
10.70902,1.1426,1.54908,-1.1426
10.73528,1.1426,1.57534,-1.1426
10.76015,1.1426,1.60021,-1.1426
10.78639,1.1426,1.62645,-1.1426
10.80665,1.2305,1.64671,-1.2305
10.83738,1.1426,1.67744,-1.1426
10.86503,1.1426,1.70509,-1.1426
10.88822,1.2305,1.72828,-1.2305
10.91511,1.1426,1.75517,-1.1426
10.93953,1.1426,1.77959,-1.1426
10.96708,1.1426,1.80714,-1.1426
10.9912,1.1426,1.83126,-1.1426
11.01766,1.1426,1.85772,-1.1426
11.04189,1.1426,1.88195,-1.1426
11.06882,1.1426,1.90888,-1.1426
11.09041,1.1426,1.93047,-1.1426
11.1175,1.1426,1.95756,-1.1426
11.1424,1.1426,1.98246,-1.1426
11.1721,1.1426,2.01216,-1.1426
11.1977,1.1426,2.03776,-1.1426
11.2232,1.1426,2.06326,-1.1426
11.24912,1.1426,2.08918,-1.1426
11.27543,1.1426,2.11549,-1.1426
11.30036,1.1426,2.14042,-1.1426
11.32454,1.1426,2.1646,-1.1426
11.35136,1.1426,2.19142,-1.1426
11.3745,1.1426,2.21456,-1.1426
11.40299,1.1426,2.24305,-1.1426
11.42568,1.1426,2.26574,-1.1426
11.45459,1.1426,2.29465,-1.1426
11.48136,1.1426,2.32142,-1.1426
11.50589,1.1426,2.34595,-1.1426
11.53227,1.1426,2.37233,-1.1426
11.55793,1.1426,2.39799,-1.1426
11.58362,1.1426,2.42368,-1.1426
11.6072,1.1426,2.44726,-1.1426
11.63429,1.2305,2.47435,-1.2305
11.65733,1.1426,2.49739,-1.1426
11.68556,1.1426,2.52562,-1.1426
11.70776,1.1426,2.54782,-1.1426
11.73558,1.1426,2.57564,-1.1426
11.75553,1.0547,2.59559,-1.0547
11.78932,1.1426,2.62938,-1.1426
11.81431,1.1426,2.65437,-1.1426
11.84014,1.0547,2.6802,-1.0547
11.86542,1.1426,2.70548,-1.1426
11.88982,1.1426,2.72988,-1.1426
11.91743,1.1426,2.75749,-1.1426
11.93848,1.1426,2.77854,-1.1426
11.96741,1.1426,2.80747,-1.1426
11.99357,1.1426,2.83363,-1.1426
12.02008,1.0547,2.86014,-1.0547
12.04413,1.1426,2.88419,-1.1426
12.07133,1.1426,2.91139,-1.1426
12.09742,1.1426,2.93748,-1.1426
12.12218,1.1426,2.96224,-1.1426
12.14836,1.1426,2.98842,-1.1426
12.17388,1.1426,3.01394,-1.1426
